speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,file
3,229,467,2298,0.16345467523197715,74,58,97,SZFG.tsv
3,720,939,7580,0.25559105431309903,251,229,240,SASQ.tsv
3,710,1124,12051,0.21055753262158955,259,161,290,SWTX.tsv
3,391,577,3361,0.22588099364529174,148,123,120,SK3P.tsv
3,714,1000,8103,0.238,315,275,124,SGGE.tsv
3,418,590,3378,0.23615819209039549,117,169,132,S74A.tsv
3,308,600,3368,0.1711111111111111,110,127,71,SYA7.tsv
3,256,403,2176,0.21174524400330852,70,98,88,SNZS.tsv
3,255,468,2118,0.18162393162393162,85,81,89,S7WR.tsv
3,371,578,3195,0.21395617070357556,138,83,150,S2JK.tsv
3,350,573,3285,0.2036067481093659,105,150,95,SR3P.tsv
3,1486,1669,12867,0.2967845016976233,457,520,509,S37K.tsv
3,895,967,7681,0.3085143054119269,295,289,311,SHXJ.tsv
3,603,1066,7096,0.18855534709193245,230,158,215,SFXE.tsv
3,507,708,5483,0.2387005649717514,146,189,172,SDTD.tsv
3,655,1092,14747,0.19993894993894995,313,307,35,SCSF.tsv
3,990,1216,13666,0.2713815789473684,362,296,332,SVD6.tsv
3,691,1005,7120,0.22918739635157545,269,277,145,SVD7.tsv
3,336,450,3448,0.24888888888888888,141,91,104,SMH4.tsv
3,1661,1865,16840,0.2968722073279714,457,627,577,SLNB.tsv
3,506,876,4935,0.19254185692541856,160,196,150,SKDP.tsv
3,891,1187,10836,0.2502106149957877,334,320,237,SEJT.tsv
3,262,475,2364,0.18385964912280703,103,91,68,SK3S.tsv
3,438,704,5232,0.20738636363636365,170,107,161,S2PS.tsv
3,592,971,11132,0.20322691383453484,268,270,54,S5U8.tsv
3,1341,1364,15439,0.3277126099706745,462,441,438,S985.tsv
3,2132,2242,39417,0.3169788878977104,801,657,674,S5XD.tsv
3,1437,1595,18736,0.30031347962382443,567,480,390,SWWZ.tsv
3,719,1108,7563,0.21630565583634176,127,278,314,SUAB.tsv
3,287,534,3480,0.17915106117353308,141,135,11,SYWB.tsv
3,510,804,6058,0.21144278606965175,207,181,122,SCG9.tsv
3,285,573,2378,0.16579406631762653,110,107,68,STDN.tsv
3,208,462,2047,0.15007215007215008,87,65,56,S4KE.tsv
3,578,879,4855,0.21918847174819872,217,212,149,SXGX.tsv
3,1550,1742,21336,0.2965939533103712,548,452,550,SMRV.tsv
3,774,1096,10064,0.2354014598540146,295,324,155,SDZC.tsv
3,597,936,7302,0.2126068376068376,248,110,239,SVDM.tsv
3,220,441,2249,0.16628873771730915,100,78,42,SQBK.tsv
3,336,530,2799,0.21132075471698114,140,84,112,SF7M.tsv
3,679,1117,7552,0.20262608176663682,276,241,162,SDUM.tsv
3,1027,1257,12338,0.27234155396446563,339,372,316,SXR9.tsv
3,1736,2172,23581,0.2664211172498465,670,695,371,SVR6.tsv
3,646,880,5945,0.2446969696969697,243,224,179,STJD.tsv
3,168,417,1686,0.1342925659472422,20,78,70,SRGR.tsv
3,247,507,2720,0.1623931623931624,110,111,26,SGFN.tsv
3,1282,1519,18683,0.2813254333991661,388,454,440,SN8K.tsv
3,750,1054,7568,0.23719165085388993,225,295,230,SNAC.tsv
3,1191,1512,15518,0.26256613756613756,472,440,279,SN64.tsv
3,728,959,8210,0.25304136253041365,198,282,248,S776.tsv
3,293,600,2870,0.16277777777777777,79,100,114,SWLS.tsv
3,477,706,4159,0.22521246458923513,185,158,134,SLT4.tsv
3,380,719,4980,0.1761706073249884,48,170,162,SYNT.tsv
3,1506,1456,25965,0.3447802197802198,495,448,563,SP2Y.tsv
3,326,542,2861,0.2004920049200492,132,114,80,SBNC.tsv
3,1241,1617,17681,0.25582354153782727,498,498,245,SNYG.tsv
3,298,470,2858,0.21134751773049645,94,90,114,SE2A.tsv
3,308,629,4049,0.16322204557498676,154,153,1,S3CK.tsv
3,160,410,2305,0.13008130081300814,79,77,4,S8Q3.tsv
3,334,566,3018,0.1967020023557126,95,142,97,SQU6.tsv
3,438,897,6455,0.16276477146042365,203,29,206,STG7.tsv
3,1622,2112,23777,0.25599747474747475,750,753,119,STSS.tsv
3,845,1147,9371,0.24556814879395525,333,291,221,SCPR.tsv
3,283,440,2151,0.2143939393939394,104,88,91,SXH5.tsv
3,680,980,7071,0.23129251700680273,134,271,275,SFMJ.tsv
3,378,692,3474,0.18208092485549132,169,170,39,SX3B.tsv
3,522,955,6003,0.18219895287958116,246,247,29,SHBJ.tsv
3,267,443,2596,0.20090293453724606,86,108,73,SXQ6.tsv
3,1277,1475,18642,0.28858757062146895,513,475,289,S8PW.tsv
3,354,705,4938,0.1673758865248227,175,174,5,SHX2.tsv
3,729,1170,9011,0.2076923076923077,263,293,173,SJ4X.tsv
3,489,748,4466,0.2179144385026738,183,137,169,S37E.tsv
3,246,501,2621,0.16367265469061876,113,22,111,SYTL.tsv
3,902,1169,9174,0.2571998859424009,322,312,268,S575.tsv
3,1553,1929,24982,0.268360117504752,561,593,399,SW6A.tsv
3,1564,1867,19958,0.2792358507409391,576,523,465,SP2X.tsv
3,272,546,3094,0.16605616605616605,115,45,112,S79Y.tsv
3,444,637,4111,0.23233908948194662,179,145,120,S57G.tsv
3,1323,1725,20110,0.25565217391304346,289,531,503,SL8N.tsv
3,1174,1510,18069,0.25916114790286976,476,467,231,S7TT.tsv
3,388,590,3859,0.2192090395480226,143,109,136,S2JV.tsv
3,781,1087,9127,0.23949708678319534,280,305,196,SE3W.tsv
3,374,535,3065,0.23302180685358256,108,116,150,SXPW.tsv
3,197,415,1786,0.15823293172690764,66,75,56,SFC2.tsv
3,341,550,3077,0.20666666666666667,114,142,85,SH8K.tsv
3,1228,1376,16719,0.29748062015503873,336,452,440,SF8D.tsv
3,163,360,1634,0.15092592592592594,81,80,2,SH6W.tsv
3,567,939,7408,0.2012779552715655,230,96,241,S6GC.tsv
3,393,620,5162,0.21129032258064517,151,127,115,SMF5.tsv
3,756,1082,11015,0.23290203327171904,183,279,294,SVRQ.tsv
3,329,623,3519,0.1760299625468165,139,134,56,SZ2V.tsv
3,628,964,8287,0.21715076071922546,230,248,150,SU6F.tsv
3,587,850,6569,0.23019607843137255,225,173,189,SKKB.tsv
3,819,994,9276,0.2746478873239437,318,309,192,S2PY.tsv
3,838,972,11464,0.28737997256515774,224,296,318,SY4A.tsv
3,231,483,2184,0.15942028985507245,102,35,94,SBZW.tsv
3,330,636,2944,0.17295597484276728,81,124,125,S2RD.tsv
3,563,886,5994,0.21181339352896916,231,211,121,SEJK.tsv
3,545,754,5473,0.2409372236958444,198,169,178,SJA5.tsv
3,1242,1547,19866,0.2676147382029735,494,434,314,SHTW.tsv
3,682,995,7966,0.2284757118927973,248,154,280,S4KW.tsv
3,364,558,3139,0.2174432497013142,141,122,101,S83A.tsv
3,670,1118,8077,0.1997614788312463,170,275,225,SZP6.tsv
3,496,723,4649,0.22867680958967265,188,142,166,SADE.tsv
3,348,601,3200,0.1930116472545757,141,81,126,SKJ3.tsv
3,195,708,3859,0.09180790960451977,29,77,89,SBBP.tsv
3,236,476,1810,0.16526610644257703,100,82,54,S2GS.tsv
3,1303,1502,14394,0.2891699955614736,451,415,437,SKRC.tsv
3,516,816,4719,0.2107843137254902,181,166,169,S78H.tsv
3,424,690,3563,0.20483091787439614,150,132,142,SKZX.tsv
3,442,662,4452,0.22255790533736153,158,157,127,SG7X.tsv
3,1371,1940,26299,0.23556701030927835,659,658,54,S7SU.tsv
3,1001,1139,10899,0.2929470295580919,347,311,343,S2LD.tsv
3,378,540,3178,0.23333333333333334,117,155,106,SUGV.tsv
3,167,340,1440,0.16372549019607843,43,61,63,SUDM.tsv
3,221,401,1978,0.18370739817123857,48,89,84,SJEM.tsv
3,797,1258,14284,0.21118177000529942,85,360,352,S6YA.tsv
3,492,728,5232,0.22527472527472528,195,169,128,SZ94.tsv
3,683,1119,7504,0.20345546619005064,195,213,275,SZNA.tsv
3,133,317,1547,0.1398527865404837,62,13,58,SVAT.tsv
3,326,523,3234,0.20777565328234543,99,116,111,SF2C.tsv
3,705,1127,9251,0.2085181898846495,290,255,160,S8CW.tsv
3,358,588,2651,0.20294784580498867,116,138,104,S4T3.tsv
3,467,725,3851,0.21471264367816092,161,169,137,SCWW.tsv
3,605,1076,10161,0.18742255266418836,260,88,257,SXAZ.tsv
3,201,341,1520,0.19648093841642228,74,67,60,S49H.tsv
3,625,916,6257,0.22743813682678313,252,204,169,SDJL.tsv
3,463,685,4297,0.22530413625304135,179,165,119,S8W2.tsv
3,989,1344,14163,0.2452876984126984,229,354,406,SG78.tsv
3,270,484,2253,0.1859504132231405,109,91,70,S2TC.tsv
3,1968,2322,30890,0.28251507321274766,658,574,736,SNJP.tsv
3,623,796,6107,0.26088777219430487,234,159,230,SGCA.tsv
3,680,976,9032,0.23224043715846995,235,267,178,SG5Q.tsv
3,924,1157,12331,0.2662057044079516,371,356,197,SUQM.tsv
3,1207,1465,16766,0.27463026166097837,430,406,371,SNG4.tsv
3,773,1082,8717,0.2381392483056069,302,240,231,SRU7.tsv
3,653,917,5995,0.23736822973464194,277,273,103,SBSJ.tsv
3,764,939,8430,0.27121050763223287,242,254,268,S9F9.tsv
3,627,886,7814,0.23589164785553046,248,255,124,SYHW.tsv
3,935,1309,11093,0.23809523809523808,365,362,208,SKCY.tsv
3,577,1089,10039,0.17661463116008572,269,269,39,S7PM.tsv
3,1008,1184,12030,0.28378378378378377,370,385,253,SR7C.tsv
3,941,1409,8626,0.22261651289330495,335,300,306,SK8N.tsv
3,956,1209,10819,0.2635787151916184,289,347,320,SJSC.tsv
3,930,1349,10288,0.22979985174203113,386,150,394,SAB7.tsv
3,1106,1584,22887,0.23274410774410775,542,539,25,S8BQ.tsv
3,498,699,4881,0.2374821173104435,176,184,138,SQ2L.tsv
3,539,779,5129,0.23063756953359008,136,215,188,S6MQ.tsv
3,737,1222,13536,0.20103655210038188,317,320,100,S8CB.tsv
3,619,992,10578,0.207997311827957,277,263,79,SHGE.tsv
3,619,825,6526,0.2501010101010101,240,236,143,SCWC.tsv
3,1784,2139,24193,0.2780115318684744,649,441,694,S3JF.tsv
3,265,413,2186,0.21388216303470542,95,90,80,SJKD.tsv
3,853,1150,10469,0.2472463768115942,325,278,250,SQPN.tsv
3,257,433,2130,0.19784449576597382,82,101,74,S7RD.tsv
3,1152,1441,16356,0.26648160999306036,426,281,445,SP62.tsv
3,1327,1553,21932,0.2848250697574587,512,498,317,S2T6.tsv
3,399,816,4923,0.16299019607843138,178,102,119,SKY7.tsv
3,165,358,1257,0.15363128491620112,53,68,44,SYFN.tsv
3,774,1401,10508,0.1841541755888651,13,381,380,SJG5.tsv
3,1245,1622,18177,0.2558569667077682,524,495,226,SZNG.tsv
3,1567,1729,18992,0.30210140736456526,464,547,556,SXCB.tsv
3,1280,1566,18138,0.2724563644103874,470,408,402,SXNE.tsv
3,1354,1823,16096,0.24757725361126348,540,430,384,SF3V.tsv
3,793,1238,9457,0.21351642434033388,292,201,300,SA6K.tsv
3,771,1232,10423,0.2086038961038961,307,207,257,SJSQ.tsv
3,455,703,5300,0.215742057847321,86,187,182,S3SA.tsv
3,701,860,7440,0.2717054263565892,205,220,276,ST6R.tsv
3,1366,1665,21773,0.27347347347347345,276,549,541,SDHB.tsv
3,514,792,5170,0.21632996632996632,203,206,105,S3GS.tsv
3,483,843,5283,0.19098457888493475,177,166,140,SKMV.tsv
3,988,1181,11203,0.27885972339825005,390,325,273,SB32.tsv
3,806,1143,11154,0.23505395158938466,325,281,200,S7RA.tsv
3,352,543,2671,0.21608348680171885,127,115,110,SKBN.tsv
3,391,529,3580,0.2463768115942029,155,119,117,SBKH.tsv
3,643,932,6413,0.22997138769670958,258,146,239,SRX4.tsv
3,1474,2061,21608,0.2383956008410157,719,721,34,S7JG.tsv
3,144,352,1684,0.13636363636363635,68,7,69,SKY2.tsv
3,793,1048,9265,0.2522264631043257,290,262,241,SKYQ.tsv
3,306,545,2695,0.1871559633027523,120,89,97,S9D7.tsv
3,885,1169,8850,0.2523524379811805,297,312,276,SPTA.tsv
3,736,1002,8024,0.24484364604125083,258,202,276,S539.tsv
3,892,1135,11433,0.2619676945668135,352,333,207,SVUC.tsv
3,1567,1825,18891,0.28621004566210045,572,388,607,SMME.tsv
3,1045,1342,11230,0.25956284153005466,340,350,355,S66A.tsv
3,1116,1368,9193,0.2719298245614035,413,401,302,SHJE.tsv
3,1445,1668,21491,0.2887689848121503,577,290,578,SF2Q.tsv
3,428,670,3952,0.21293532338308457,174,84,170,S3SU.tsv
3,449,568,4465,0.2634976525821596,154,120,175,S84P.tsv
3,566,1141,13433,0.16535203038270524,65,260,241,S6A5.tsv
3,641,820,5637,0.2605691056910569,256,203,182,SXC6.tsv
3,1621,2127,33191,0.25403541764613696,712,713,196,S64H.tsv
3,465,649,3566,0.23882896764252695,160,170,135,S6UQ.tsv
3,1204,1424,16042,0.2818352059925094,286,445,473,SD2R.tsv
3,747,982,10026,0.2535641547861507,164,279,304,SXWR.tsv
3,866,1222,8636,0.23622476813966176,229,289,348,SJDM.tsv
3,392,570,3622,0.22923976608187135,142,146,104,SQPH.tsv
3,832,1108,8219,0.2503008423586041,305,277,250,S7JS.tsv
3,594,998,6517,0.19839679358717435,217,158,219,SP9Z.tsv
