speaker_number,vo_overlap,vo_total,total_token_number,overlap,file
2,619,1461,13772,0.42368240930869266,SGN8.tsv
2,439,1260,11782,0.3484126984126984,S72E.tsv
2,437,1227,8845,0.3561532192339038,SUPV.tsv
2,361,886,11503,0.4074492099322799,SYEZ.tsv
2,250,726,4282,0.3443526170798898,SRW5.tsv
2,378,944,7959,0.4004237288135593,SG4J.tsv
2,227,590,3787,0.3847457627118644,S2AJ.tsv
2,137,367,1610,0.37329700272479566,S24A.tsv
2,327,732,5780,0.44672131147540983,SL3R.tsv
2,186,611,2868,0.3044189852700491,S5HT.tsv
2,405,1120,10716,0.36160714285714285,SZAP.tsv
2,275,647,5878,0.4250386398763524,S4C2.tsv
2,243,762,4216,0.3188976377952756,SXVL.tsv
2,406,1217,9268,0.33360723089564503,SJJK.tsv
2,392,1015,7308,0.38620689655172413,SXWH.tsv
2,349,962,6471,0.3627858627858628,SDGT.tsv
2,221,552,3678,0.4003623188405797,SZYV.tsv
2,286,706,6283,0.40509915014164305,STUM.tsv
2,294,772,4913,0.38082901554404147,SVCT.tsv
2,242,609,4897,0.3973727422003284,SVBG.tsv
2,197,542,2693,0.3634686346863469,SHJH.tsv
2,545,1378,15712,0.3955007256894049,SV4W.tsv
2,148,432,2193,0.3425925925925926,STV6.tsv
2,411,1215,8558,0.33827160493827163,SZME.tsv
2,431,1370,13574,0.31459854014598543,S32W.tsv
2,443,1016,10548,0.4360236220472441,SJE3.tsv
2,269,808,5698,0.33292079207920794,SPXX.tsv
2,242,762,5219,0.31758530183727035,S7QU.tsv
2,483,1266,12209,0.3815165876777251,SEM7.tsv
2,315,904,10473,0.34845132743362833,S5ER.tsv
2,262,667,4337,0.39280359820089955,SP5U.tsv
2,515,1207,13576,0.4266777133388567,S7FK.tsv
2,219,639,3881,0.3427230046948357,SYDJ.tsv
2,276,701,4350,0.39372325249643364,SUPB.tsv
2,194,564,2285,0.34397163120567376,SRVD.tsv
2,172,547,2999,0.31444241316270566,SN26.tsv
2,457,1287,8808,0.3550893550893551,S72Q.tsv
2,174,722,4665,0.2409972299168975,SBS5.tsv
2,160,466,2599,0.34334763948497854,S7P2.tsv
2,157,503,2495,0.3121272365805169,SFPK.tsv
2,235,668,4627,0.35179640718562877,SAZ8.tsv
2,202,635,3140,0.31811023622047246,SAXQ.tsv
2,318,986,6162,0.3225152129817444,SZXQ.tsv
2,212,697,3520,0.30416068866571017,SXAQ.tsv
2,202,600,4095,0.33666666666666667,S87R.tsv
2,302,934,6919,0.3233404710920771,SHJJ.tsv
2,287,715,4801,0.4013986013986014,SVCW.tsv
2,432,1048,9117,0.4122137404580153,S682.tsv
2,350,936,7028,0.37393162393162394,SAA3.tsv
2,381,1407,10775,0.27078891257995735,SQ37.tsv
2,139,388,1793,0.3582474226804124,SQEF.tsv
2,689,1665,29513,0.4138138138138138,S8B9.tsv
2,347,1092,10582,0.31776556776556775,SCWJ.tsv
2,287,747,5247,0.38420348058902276,SFJ2.tsv
2,159,417,2123,0.381294964028777,SAMQ.tsv
2,391,861,7316,0.454123112659698,SX6D.tsv
2,219,586,3626,0.37372013651877134,SDFR.tsv
2,183,484,2819,0.378099173553719,SHP3.tsv
2,268,750,4216,0.35733333333333334,SMMK.tsv
2,188,553,3945,0.3399638336347197,STBF.tsv
2,389,1125,7288,0.3457777777777778,ST47.tsv
2,351,969,8693,0.3622291021671827,STLZ.tsv
2,237,572,4404,0.4143356643356643,SZCM.tsv
2,347,1218,9398,0.2848932676518883,SMCW.tsv
2,506,1398,14401,0.36194563662374823,SUGJ.tsv
2,423,1220,10531,0.34672131147540985,SE58.tsv
2,169,488,2450,0.3463114754098361,S7RM.tsv
2,400,1035,7600,0.3864734299516908,SRCD.tsv
2,260,835,5680,0.31137724550898205,SRNT.tsv
2,400,1013,7481,0.39486673247778875,SLDD.tsv
2,495,1133,10127,0.4368932038834951,SRNC.tsv
2,279,858,5007,0.32517482517482516,SR9W.tsv
2,237,728,4840,0.32554945054945056,SR96.tsv
2,296,907,5877,0.3263506063947078,SRVR.tsv
2,173,596,2730,0.2902684563758389,SN27.tsv
2,114,373,1176,0.30563002680965146,SETW.tsv
2,522,1625,14608,0.3212307692307692,SP9F.tsv
2,237,640,3659,0.3703125,S9KS.tsv
2,497,1458,13530,0.34087791495198905,S9GP.tsv
2,336,994,4889,0.3380281690140845,S5QP.tsv
2,524,1389,19175,0.37724982001439883,S7SZ.tsv
2,280,772,7442,0.3626943005181347,SE6F.tsv
2,476,1139,11448,0.417910447761194,STMM.tsv
2,246,737,4630,0.3337856173677069,SAVH.tsv
2,324,864,6414,0.375,S6ZU.tsv
2,328,846,5785,0.3877068557919622,SCA5.tsv
2,368,904,7187,0.40707964601769914,SMNC.tsv
2,300,827,6441,0.36275695284159615,S8XE.tsv
2,376,1017,8786,0.3697148475909538,SMYJ.tsv
2,167,490,2633,0.3408163265306122,SXLD.tsv
2,388,1007,7401,0.3853028798411122,S3RZ.tsv
2,386,948,9413,0.40717299578059074,SHHG.tsv
2,287,917,5944,0.31297709923664124,SVCS.tsv
2,303,741,5926,0.4089068825910931,SQ2W.tsv
