Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
yeah,1,7,"[0, 7, 8, 9, 14, 20, 22, 30, 32, 34, 35, 39, 45, 49, 57, 58, 60, 61, 71, 79, 80, 81, 84, 88, 92, 93, 97, 105, 107, 113, 115, 127, 130, 132, 147, 150, 153, 154, 155, 157, 158, 161, 163, 164, 172, 177, 183, 186, 187, 189, 191, 203, 204, 207, 208, 210, 212, 216, 223, 225, 226, 229, 230, 231, 234, 256, 257, 258, 260, 267, 268, 270, 271, 274, 285, 293, 296, 298, 299, 301, 302, 306, 308, 309, 310, 311, 316, 318, 319, 325, 329, 332, 334, 342, 344, 345, 353, 354, 377, 393, 399, 407, 422, 434, 436, 438, 444, 448, 450, 452, 457, 459, 460, 466, 473, 474, 475, 476, 478, 482, 483, 488, 490, 492, 495, 500, 510, 517, 518, 519, 530, 531, 533, 537, 538, 539, 542, 544, 546, 549, 551, 562, 574, 578, 583, 586, 587, 593, 598, 612, 623, 635, 645, 650, 652, 656, 665, 670, 682, 686, 693, 704, 706, 708, 721, 723, 727, 728, 732, 734, 736, 737, 738, 746, 748, 755, 756, 758, 775, 781, 783, 786, 792, 793, 798, 800, 803, 807, 809, 812, 815, 820, 824, 826, 835, 840, 841, 850, 852, 855, 858, 860, 862, 864, 868, 875, 899, 900, 908, 911, 913, 916, 921, 925, 926, 927, 930, 935, 939, 941, 943, 944, 951, 953, 954, 959, 961, 963, 968, 970, 971, 976, 980, 981, 983, 990, 993, 999, 1004, 1006, 1009, 1011, 1016, 1025, 1026, 1030, 1031, 1044, 1046, 1048, 1054, 1059, 1060, 1062, 1063, 1067, 1069, 1073, 1074, 1077, 1079, 1080, 1082, 1096, 1101, 1102, 1103, 1104, 1106, 1107, 1109, 1114, 1115, 1118, 1120, 1122, 1133, 1135, 1137, 1139, 1140, 1153, 1155, 1160, 1165, 1167, 1176, 1179, 1182, 1185, 1187, 1189, 1198, 1206, 1217, 1220, 1223, 1228, 1230, 1250, 1251, 1253, 1256, 1257, 1266, 1268, 1269, 1272, 1273, 1279, 1284, 1301, 1305, 1306, 1316, 1319, 1321, 1322, 1328, 1335, 1337, 1342, 1348, 1352, 1358, 1361, 1363, 1365, 1366, 1370, 1371, 1373, 1375, 1379, 1382, 1388, 1395, 1396, 1397, 1401, 1405, 1406, 1410, 1425, 1427, 1430, 1433, 1437, 1441, 1443, 1448, 1449, 1453, 1455, 1456, 1457, 1458, 1462, 1464, 1468, 1475, 1478, 1479, 1485, 1492, 1499, 1500, 1503, 1517, 1522, 1524, 1526, 1529, 1531, 1533, 1535, 1537, 1538, 1541, 1543, 1545, 1554, 1555, 1558, 1561, 1564, 1566, 1568, 1570, 1574, 1578, 1580, 1582, 1583, 1588, 1592, 1594, 1595, 1608, 1609, 1621, 1624, 1625, 1631, 1632, 1633, 1635, 1637, 1639, 1641, 1651, 1658, 1661, 1666, 1668, 1670, 1672, 1676, 1678, 1680, 1682, 1684, 1688, 1690, 1694, 1698, 1703, 1704, 1706, 1708, 1714, 1717, 1719, 1723, 1727, 1729, 1731, 1735]",SG56.tsv
well,1,24,"[0, 24, 29, 36, 39, 54, 55, 58, 64, 84, 129, 136, 141, 142, 149, 201, 229, 305, 321, 329, 330, 334, 340, 364, 374, 376, 390, 395, 485, 525, 536, 553, 558, 579, 584, 590, 604, 616, 621, 644, 655, 693, 743, 768, 777, 788, 822, 831, 848, 871, 873, 885, 887, 1001, 1018, 1070, 1129, 1130, 1144, 1147, 1174, 1178, 1180, 1251, 1265, 1310, 1325, 1349, 1367, 1432, 1445, 1452, 1489, 1497, 1522, 1553, 1574, 1608, 1618, 1631, 1637, 1658, 1665, 1703]",SG56.tsv
well yeah,2,229,"[0, 229, 329, 1251, 1574, 1637, 1658]",SG56.tsv
well i,2,321,"[0, 54, 321, 553, 621, 743, 873, 1349, 1608]",SG56.tsv
yeah but,2,377,"[0, 318, 377, 475, 1223, 1250, 1382, 1698]",SG56.tsv
you want,2,119,"[10, 119, 159, 221, 613, 802, 1158, 1287, 1383]",SG56.tsv
that's,1,46,"[19, 46, 47, 58, 87, 103, 224, 249, 331, 361, 363, 375, 395, 409, 428, 471, 476, 478, 536, 586, 609, 612, 633, 674, 689, 701, 718, 795, 810, 871, 881, 903, 999, 1043, 1049, 1066, 1070, 1072, 1087, 1121, 1123, 1134, 1145, 1204, 1252, 1277, 1280, 1285, 1319, 1344, 1381, 1398, 1426, 1445, 1446, 1465, 1535, 1536, 1594, 1599, 1626, 1649, 1665, 1673, 1688, 1708]",SG56.tsv
that's what,2,375,"[19, 375, 689, 1070, 1134, 1145, 1252, 1319, 1465, 1649]",SG56.tsv
that's what the,3,1134,"[19, 1134]",SG56.tsv
yes,1,28,"[21, 28, 213, 214, 324, 392, 731, 733, 791, 821, 1033, 1186, 1307, 1333, 1342, 1486, 1615, 1621]",SG56.tsv
