Expression Lexicon Size without stopwords,file
205,SN2C.tsv
527,S29Q.tsv
991,SNPA.tsv
1124,SAVN.tsv
1615,SCXG.tsv
632,SQD6.tsv
2393,SXLC.tsv
2425,SMZV.tsv
454,S9RV.tsv
2570,S7JH.tsv
594,S7DT.tsv
873,SNE5.tsv
2437,SN3D.tsv
441,S5SJ.tsv
638,SLPW.tsv
810,SWSL.tsv
528,SM6J.tsv
481,SAZY.tsv
822,S68E.tsv
1281,S3QD.tsv
482,SQ2D.tsv
657,SCZZ.tsv
2518,SVZB.tsv
1677,SWPV.tsv
725,SR82.tsv
948,SRYY.tsv
716,S7QE.tsv
2320,STWC.tsv
521,ST56.tsv
459,S452.tsv
4554,SAUR.tsv
999,SK8T.tsv
1098,S7DR.tsv
700,SBQZ.tsv
81,SPC7.tsv
771,S2UJ.tsv
2099,S5PW.tsv
364,S5J8.tsv
404,S7PU.tsv
2289,SDJA.tsv
2560,SVBB.tsv
1326,SV5A.tsv
511,STBW.tsv
349,SPZ4.tsv
297,SP45.tsv
1605,SWFJ.tsv
379,SGMQ.tsv
816,S99N.tsv
1175,S5UJ.tsv
336,S7WW.tsv
2735,SKHW.tsv
327,S37Y.tsv
2105,S8RC.tsv
1331,S4HW.tsv
2240,SHAZ.tsv
89,S6H4.tsv
1275,SQ6Z.tsv
446,SFB9.tsv
491,SXK2.tsv
227,S39D.tsv
1388,S2DD.tsv
922,SUWR.tsv
464,S99Z.tsv
972,ST25.tsv
1082,SJNC.tsv
2256,S3YZ.tsv
282,SHCG.tsv
822,SFXU.tsv
2599,SJNB.tsv
1237,SVP4.tsv
873,SASC.tsv
1359,SWZA.tsv
1854,SKDA.tsv
376,SLBG.tsv
988,SPHU.tsv
2096,SUVS.tsv
482,SNCR.tsv
537,SNMN.tsv
218,SWVQ.tsv
911,SJ7N.tsv
866,SZJ3.tsv
1167,SVD4.tsv
1759,SH4V.tsv
224,SCG7.tsv
2077,STH5.tsv
397,S7UX.tsv
2874,S23A.tsv
2075,S2EF.tsv
2635,S784.tsv
1123,SES6.tsv
2952,SBM6.tsv
1592,S355.tsv
1209,S3M9.tsv
1455,S8JW.tsv
46,S3TZ.tsv
3019,SA2J.tsv
2037,S4QF.tsv
444,S3N4.tsv
1944,S35U.tsv
682,S9ZL.tsv
5027,SL9V.tsv
1493,SW5B.tsv
15157,SUVQ.tsv
1254,SN98.tsv
2929,SR3K.tsv
466,SHLT.tsv
1684,S3U3.tsv
507,SH5J.tsv
838,STKW.tsv
1647,SUTB.tsv
306,S9ZU.tsv
2040,SWY3.tsv
1605,SJNJ.tsv
883,S6EX.tsv
1221,SHC8.tsv
4078,S3LE.tsv
292,SBNU.tsv
580,S5TE.tsv
3334,SG3Q.tsv
1743,S5LP.tsv
2070,SMK3.tsv
473,S6KV.tsv
732,SZRJ.tsv
370,SHL3.tsv
584,SCP7.tsv
1194,SDA8.tsv
907,SC2T.tsv
1008,S376.tsv
1059,SYWR.tsv
1178,SNNJ.tsv
135,SLU4.tsv
1062,SEPR.tsv
431,SGSK.tsv
1587,SB5E.tsv
322,SH64.tsv
565,SX2V.tsv
1354,SCPC.tsv
1332,SXDQ.tsv
2321,S6JP.tsv
216,SA2B.tsv
1495,SJM7.tsv
1912,SAQD.tsv
909,S4D8.tsv
1255,S43M.tsv
1327,S2KP.tsv
394,S9WB.tsv
1034,SBZ7.tsv
1122,S7A6.tsv
410,SFSZ.tsv
549,SFQE.tsv
1172,SM99.tsv
2558,SD3R.tsv
5447,SMW8.tsv
1782,STXT.tsv
937,S8CV.tsv
343,S86J.tsv
952,SVZH.tsv
1373,SZ95.tsv
651,S47C.tsv
537,SEBP.tsv
1039,SUKT.tsv
1467,SP6E.tsv
305,S477.tsv
1232,SVX4.tsv
2150,S85D.tsv
457,SHKF.tsv
1827,SJRQ.tsv
253,S8YL.tsv
580,SBKM.tsv
245,S5P8.tsv
1250,SWGV.tsv
284,SNK6.tsv
285,S2Y5.tsv
739,S7JF.tsv
559,SBFN.tsv
916,SZBD.tsv
692,SJFG.tsv
1129,SZB2.tsv
2536,SJHL.tsv
1922,SV49.tsv
828,SCZV.tsv
326,S67P.tsv
246,SQQX.tsv
241,S8TN.tsv
1139,SKL3.tsv
1301,SG56.tsv
686,SWF6.tsv
356,SBPW.tsv
2275,S263.tsv
1743,SZAK.tsv
584,STA2.tsv
430,SA9P.tsv
1828,SFER.tsv
3948,S4TV.tsv
649,SJSS.tsv
1069,SLJW.tsv
220,SKA7.tsv
1954,SYHP.tsv
