Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
one,1,1,"[0, 1, 4, 5, 11, 27, 28, 36, 40, 44, 61, 66, 68, 80, 92, 96, 122, 125, 130, 132, 134, 135, 146, 151, 171, 290, 334, 337, 360, 385, 387, 457, 458, 517, 626, 644, 691, 760, 789, 864, 865, 916, 966, 983, 1013, 1114, 1115]",SJNC.tsv
we get,2,15,"[0, 15, 87, 89, 120, 139, 140, 141]",SJNC.tsv
get,1,13,"[0, 13, 15, 22, 24, 25, 44, 47, 48, 61, 80, 87, 89, 92, 95, 113, 114, 120, 125, 128, 135, 139, 140, 141, 155, 171, 174, 178, 179, 192, 193, 194, 196, 208, 216, 217, 225, 227, 236, 256, 270, 300, 324, 326, 328, 329, 331, 338, 341, 385, 390, 399, 448, 457, 458, 465, 502, 520, 525, 541, 568, 588, 592, 610, 621, 624, 627, 633, 641, 644, 674, 680, 696, 762, 766, 783, 799, 806, 811, 840, 862, 863, 916, 966, 971, 983, 993, 995, 996, 1000, 1016, 1019, 1063]",SJNC.tsv
the one,2,4,"[0, 4, 27, 28, 334, 337, 360, 626]",SJNC.tsv
be we,2,87,"[0, 87, 120, 155]",SJNC.tsv
go,1,171,"[0, 12, 96, 166, 171, 174, 186, 190, 275, 286, 293, 300, 385, 397, 404, 541, 575, 624, 627, 680, 727, 730, 732, 793, 796, 813, 837, 839, 881, 893, 894, 897, 925, 930, 932, 935, 940, 942, 944, 947, 948, 951, 1076]",SJNC.tsv
for the,2,224,"[0, 12, 44, 224]",SJNC.tsv
meal deal,2,2,"[1, 2, 22, 96, 141, 174]",SJNC.tsv
three,1,102,"[2, 102, 124, 141, 174, 208, 343, 345, 350, 446, 903, 1114]",SJNC.tsv
meal,1,224,"[1, 2, 22, 96, 141, 174, 224, 830]",SJNC.tsv
yeah,1,6,"[5, 6, 7, 10, 13, 14, 15, 18, 19, 23, 28, 49, 52, 53, 57, 62, 63, 76, 81, 88, 91, 99, 101, 103, 105, 106, 108, 112, 116, 117, 122, 124, 125, 126, 137, 138, 142, 152, 156, 173, 174, 177, 178, 187, 190, 191, 192, 194, 196, 198, 208, 218, 239, 244, 250, 252, 255, 257, 267, 271, 277, 287, 291, 306, 318, 323, 329, 330, 332, 336, 343, 349, 350, 360, 364, 397, 406, 409, 415, 417, 422, 425, 433, 440, 441, 451, 452, 453, 454, 465, 468, 470, 474, 476, 479, 482, 484, 487, 488, 491, 494, 497, 507, 508, 521, 522, 523, 526, 541, 550, 551, 558, 559, 577, 579, 583, 586, 589, 590, 596, 598, 602, 607, 608, 623, 626, 635, 636, 637, 643, 645, 646, 654, 660, 661, 666, 667, 669, 671, 673, 675, 684, 692, 696, 709, 711, 714, 715, 731, 732, 734, 737, 739, 740, 742, 750, 752, 761, 763, 771, 778, 779, 789, 799, 805, 806, 807, 808, 814, 820, 822, 826, 827, 854, 855, 858, 862, 864, 869, 873, 874, 875, 878, 882, 883, 886, 897, 904, 907, 915, 917, 918, 919, 920, 922, 924, 929, 930, 931, 933, 934, 935, 941, 942, 946, 947, 967, 971, 974, 975, 977, 980, 985, 987, 988, 989, 991, 994, 996, 998, 1008, 1025, 1047, 1049, 1050, 1055, 1056, 1058, 1061, 1062, 1064, 1067, 1069, 1071, 1077, 1078, 1090, 1091, 1099, 1100, 1102, 1106, 1109, 1110, 1116, 1119, 1127, 1131, 1133, 1137]",SJNC.tsv
wait,1,71,"[8, 14, 63, 71, 141, 203, 708, 1081]",SJNC.tsv
inch pizzas,2,27,"[12, 25, 27, 34, 37, 66, 71, 122, 141]",SJNC.tsv
nine inch,2,36,"[12, 25, 34, 36, 37, 44, 61, 78]",SJNC.tsv
inch,1,36,"[12, 23, 25, 27, 36, 37, 44, 61, 66, 71, 78, 122, 141]",SJNC.tsv
pizzas,1,12,"[4, 12, 23, 24, 25, 27, 34, 37, 66, 71, 89, 102, 104, 120, 122, 141]",SJNC.tsv
chip,1,17,"[4, 7, 17, 41, 42, 44, 67, 68, 107, 111, 134, 135, 139, 140, 143]",SJNC.tsv
drink,1,54,"[17, 46, 49, 51, 54, 155, 223, 255]",SJNC.tsv
you want,2,94,"[17, 81, 94, 118, 130]",SJNC.tsv
want,1,130,"[17, 39, 49, 58, 81, 90, 114, 118, 130, 193, 236, 541, 674, 677, 681, 684, 862, 887, 1002]",SJNC.tsv
and you,2,255,"[17, 128, 255, 360]",SJNC.tsv
that's,1,38,"[20, 38, 45, 55, 73, 74, 75, 77, 102, 115, 122, 147, 173, 174, 230, 277, 297, 302, 314, 372, 412, 416, 442, 448, 458, 461, 465, 472, 494, 495, 511, 540, 557, 582, 608, 626, 653, 660, 707, 724, 739, 744, 751, 752, 759, 777, 788, 829, 855, 878, 968, 993, 1073, 1100, 1112, 1113, 1121, 1124, 1127]",SJNC.tsv
okay,1,26,"[20, 26, 35, 46, 50, 58, 59, 97, 99, 153, 166, 174, 230, 301, 320, 444, 447, 450, 451, 509, 669, 793, 835, 888, 890, 892, 926, 929, 999]",SJNC.tsv
that's fine,2,608,"[20, 608]",SJNC.tsv
twelve inch pizzas,3,27,"[23, 27, 66, 71, 141]",SJNC.tsv
twelve inch,2,61,"[23, 61, 66]",SJNC.tsv
well,1,23,"[13, 21, 23, 47, 61, 80, 95, 114, 124, 125, 135, 144, 151, 152, 161, 165, 167, 191, 253, 256, 296, 300, 302, 324, 331, 358, 373, 384, 404, 412, 420, 446, 458, 469, 476, 572, 588, 648, 682, 691, 700, 741, 752, 756, 757, 780, 820, 824, 829, 840, 851, 859, 860, 875, 896, 910, 938, 979, 995, 997, 1016, 1029, 1069, 1085, 1121, 1130]",SJNC.tsv
have you,2,439,"[23, 439, 445, 477, 818, 995]",SJNC.tsv
see,1,477,"[23, 278, 324, 428, 477, 507, 620, 625, 647, 649, 682, 772, 903, 984, 1084]",SJNC.tsv
twelve,1,45,"[23, 27, 45, 61, 66, 71, 80, 141, 764, 765, 774, 1009, 1011]",SJNC.tsv
get the,2,87,"[25, 87, 179, 385]",SJNC.tsv
you get,2,25,"[24, 25, 44, 128, 135, 174, 390, 995, 1000]",SJNC.tsv
ring,1,118,"[28, 118, 125, 140]",SJNC.tsv
onion ring,2,125,"[28, 125, 140, 145]",SJNC.tsv
which be,2,464,"[28, 98, 464, 504, 527, 721]",SJNC.tsv
come,1,509,"[28, 63, 509, 541, 881, 902, 914, 985]",SJNC.tsv
onion,1,862,"[28, 125, 140, 862, 863, 864, 867]",SJNC.tsv
two,1,37,"[4, 13, 15, 34, 37, 51, 66, 104, 139, 140, 141, 143, 456, 743, 784, 882, 885, 1023, 1113, 1114]",SJNC.tsv
ninety and,2,73,"[37, 73]",SJNC.tsv
four,1,115,"[37, 38, 115, 125, 212, 393, 729, 743]",SJNC.tsv
five,1,122,"[37, 38, 122, 399, 743, 955, 1013]",SJNC.tsv
would,1,379,"[37, 151, 379, 383, 501, 801, 939, 976, 1021, 1031, 1039]",SJNC.tsv
how much,2,39,"[29, 39, 44, 63, 71, 192, 194]",SJNC.tsv
do we,2,69,"[39, 69, 841]",SJNC.tsv
and then,2,188,"[39, 46, 151, 162, 188, 231, 233, 302, 322, 362, 364, 404, 461, 625, 634, 708, 772, 810, 885, 887, 916, 966, 974, 990, 993, 1061]",SJNC.tsv
much,1,855,"[39, 44, 63, 714, 855]",SJNC.tsv
we want,2,862,"[39, 58, 90, 541, 862]",SJNC.tsv
garlic bread,2,44,"[4, 15, 43, 44, 68, 69, 87, 93, 102, 107, 128, 132, 143, 145]",SJNC.tsv
one eighty,2,44,"[40, 44]",SJNC.tsv
get a,2,48,"[44, 48, 128, 192, 193, 300, 448, 465, 568, 971, 983, 1063]",SJNC.tsv
free,1,87,"[44, 87, 832, 834, 835]",SJNC.tsv
that be,2,150,"[44, 150, 227, 418, 465, 474, 509, 601, 868, 881, 921]",SJNC.tsv
eighty,1,605,"[44, 605]",SJNC.tsv
they don't,2,640,"[44, 640, 642]",SJNC.tsv
tell,1,875,"[44, 874, 875, 1041]",SJNC.tsv
deal,1,49,"[1, 2, 22, 49, 96, 116, 141, 174, 469, 470, 475]",SJNC.tsv
without,1,49,"[22, 49, 383, 541, 768]",SJNC.tsv
yeah i,2,91,"[49, 63, 91, 116, 152, 239, 409, 417, 453, 454, 465, 470, 479, 559, 623, 643, 660, 696, 799, 827, 864, 874, 882, 935, 988, 1047, 1062, 1064, 1116]",SJNC.tsv
i can,2,466,"[49, 116, 193, 466, 470, 475, 581, 585, 587, 642, 796, 825, 966, 990, 996]",SJNC.tsv
if we want,3,862,"[49, 862]",SJNC.tsv
pound,1,55,"[51, 55, 124, 146, 193, 194, 195, 996, 1002, 1004, 1023, 1031]",SJNC.tsv
do that,2,56,"[50, 56, 111, 151, 154, 191, 479, 657, 660, 709, 795]",SJNC.tsv
we do,2,138,"[56, 138, 155, 480, 481, 517, 709, 838]",SJNC.tsv
pizza,1,61,"[58, 61, 235]",SJNC.tsv
alright,1,60,"[38, 60, 99, 109, 216, 698]",SJNC.tsv
it's alright,2,216,"[60, 216]",SJNC.tsv
no it's,2,260,"[60, 260, 262, 628]",SJNC.tsv
fine,1,468,"[20, 60, 198, 209, 468, 608, 868, 999]",SJNC.tsv
do it,2,63,"[22, 63, 231, 233, 319, 419, 446, 480, 585, 639, 820, 854, 877, 879, 988]",SJNC.tsv
wait how much,3,71,"[63, 71]",SJNC.tsv
be that,2,65,"[24, 29, 65, 90, 599, 1130]",SJNC.tsv
what be,2,200,"[65, 200, 315, 597, 700, 936, 1000, 1014]",SJNC.tsv
six ninety and seven,4,73,"[72, 73]",SJNC.tsv
six,1,125,"[72, 73, 124, 125, 193, 194, 195, 806, 807, 811]",SJNC.tsv
god,1,205,"[72, 129, 205, 240, 277, 326, 368, 375, 515, 570, 601, 690, 712, 795, 1010]",SJNC.tsv
like,1,75,"[4, 22, 55, 74, 75, 77, 102, 152, 158, 163, 174, 189, 190, 207, 211, 214, 215, 219, 220, 231, 234, 243, 246, 249, 275, 302, 308, 316, 319, 328, 334, 343, 347, 349, 360, 367, 369, 380, 382, 399, 404, 426, 427, 428, 446, 448, 457, 458, 461, 464, 465, 468, 470, 473, 475, 476, 485, 486, 489, 493, 496, 509, 517, 519, 524, 527, 530, 532, 534, 540, 541, 546, 552, 560, 572, 575, 588, 596, 598, 605, 609, 610, 612, 627, 629, 632, 634, 635, 641, 642, 644, 647, 650, 653, 655, 656, 668, 672, 675, 681, 684, 698, 701, 704, 708, 709, 719, 727, 739, 741, 743, 754, 772, 774, 784, 789, 796, 813, 826, 842, 856, 871, 874, 881, 882, 884, 885, 887, 894, 903, 906, 912, 916, 921, 923, 937, 940, 942, 947, 948, 950, 957, 959, 960, 964, 966, 971, 976, 978, 981, 982, 988, 990, 1013, 1014, 1016, 1041, 1045, 1053, 1054, 1061, 1065, 1066, 1079, 1089, 1094, 1097, 1107, 1124, 1127]",SJNC.tsv
that's like,2,75,"[55, 74, 75, 77, 102, 739]",SJNC.tsv
we just,2,87,"[78, 87, 96]",SJNC.tsv
do the,2,794,"[78, 445, 517, 794, 830]",SJNC.tsv
if you,2,629,"[81, 236, 629, 682, 767, 772, 964, 1118, 1121]",SJNC.tsv
