Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
chicken,1,7,"[0, 7, 21, 82, 211, 233, 235]",S2PY.tsv
the,1,9,"[0, 9, 21, 53, 54, 69, 84, 114, 116, 118, 122, 124, 130, 134, 139, 150, 152, 159, 168, 178, 187, 191, 193, 195, 198, 199, 222, 224, 231, 233, 235, 237, 240, 251, 276, 282, 293, 308, 335, 338, 340, 341, 369, 400, 405, 410, 419, 425, 439, 441, 447, 458, 464, 468, 478, 481, 483, 500, 502, 528, 530, 537, 551, 552, 570, 572, 589, 600, 624, 625, 628, 629, 643, 646, 649, 659, 666, 681, 683, 743, 756, 758, 760, 762, 764, 766, 768, 771, 773, 778, 795, 797, 804, 831, 852, 857, 867, 869, 871, 882, 899, 910, 913, 921, 922, 924, 937, 938, 942, 948, 956, 965, 972, 974, 983, 1010, 1017, 1031, 1034, 1049, 1054, 1061, 1062, 1063, 1064, 1066, 1069, 1072, 1074, 1084, 1085, 1110, 1115, 1126, 1129, 1132, 1133, 1139, 1141, 1145, 1151, 1153, 1165, 1176, 1183, 1194, 1211, 1220, 1222, 1234, 1236, 1241, 1242, 1250, 1258, 1261, 1283, 1290, 1297, 1306, 1317, 1319, 1321, 1322, 1325, 1326, 1334, 1342, 1349, 1352, 1384, 1387, 1399, 1400, 1413, 1417, 1428, 1430, 1441, 1447, 1451, 1453, 1454, 1457, 1476, 1478, 1485, 1507, 1513, 1514, 1515, 1552, 1554, 1555, 1575]",S2PY.tsv
be,1,9,"[0, 4, 9, 10, 13, 21, 36, 44, 45, 47, 48, 49, 51, 54, 56, 59, 60, 62, 63, 65, 66, 73, 74, 82, 86, 94, 100, 102, 105, 108, 112, 116, 118, 123, 127, 130, 132, 141, 150, 151, 168, 177, 181, 191, 204, 209, 213, 216, 225, 237, 240, 242, 251, 255, 263, 295, 296, 300, 308, 313, 330, 341, 344, 347, 348, 349, 354, 380, 421, 423, 428, 432, 435, 453, 467, 481, 491, 492, 498, 500, 502, 521, 522, 526, 528, 537, 540, 552, 553, 562, 564, 568, 570, 576, 579, 582, 600, 601, 606, 607, 609, 611, 613, 619, 625, 626, 631, 638, 639, 651, 654, 659, 664, 666, 672, 687, 716, 718, 728, 735, 743, 756, 760, 766, 768, 771, 773, 776, 779, 780, 782, 787, 797, 807, 824, 826, 831, 845, 850, 858, 867, 869, 882, 904, 907, 921, 924, 926, 928, 929, 939, 948, 954, 956, 959, 965, 972, 976, 979, 995, 1010, 1013, 1017, 1025, 1030, 1032, 1034, 1044, 1045, 1046, 1048, 1049, 1050, 1052, 1072, 1074, 1085, 1086, 1087, 1088, 1097, 1099, 1106, 1118, 1119, 1120, 1122, 1125, 1146, 1151, 1174, 1183, 1201, 1230, 1234, 1250, 1255, 1261, 1265, 1292, 1300, 1319, 1327, 1332, 1349, 1354, 1355, 1364, 1374, 1387, 1391, 1397, 1417, 1428, 1442, 1443, 1445, 1447, 1453, 1454, 1460, 1463, 1465, 1471, 1479, 1481, 1487, 1492, 1494, 1501, 1507, 1508, 1511, 1514, 1530, 1531, 1540, 1541, 1564, 1565, 1584]",S2PY.tsv
but,1,24,"[0, 24, 36, 40, 56, 62, 69, 84, 91, 96, 112, 132, 159, 168, 187, 189, 191, 213, 216, 222, 237, 240, 242, 243, 250, 269, 282, 335, 348, 394, 396, 405, 419, 423, 453, 455, 463, 468, 483, 506, 572, 593, 619, 635, 638, 657, 666, 671, 677, 679, 681, 709, 716, 789, 804, 831, 836, 848, 867, 911, 919, 926, 928, 929, 939, 942, 948, 953, 959, 968, 972, 974, 1000, 1008, 1011, 1033, 1034, 1055, 1151, 1153, 1154, 1157, 1174, 1183, 1191, 1250, 1261, 1279, 1285, 1300, 1308, 1311, 1326, 1387, 1406, 1452, 1454, 1457, 1467, 1471, 1479, 1501, 1506, 1507, 1510, 1511, 1535, 1554, 1562]",S2PY.tsv
the the,2,150,"[0, 150, 168, 760, 1139, 1220]",S2PY.tsv
but the the,3,168,"[0, 168]",S2PY.tsv
but the,2,942,"[0, 572, 942, 1183, 1250, 1326, 1507]",S2PY.tsv
chickens,1,5,"[4, 5, 13, 51, 109, 269, 276, 278, 308, 321]",S2PY.tsv
they,1,5,"[4, 5, 14, 17, 18, 21, 26, 28, 44, 45, 47, 48, 49, 51, 54, 60, 62, 64, 65, 66, 73, 74, 102, 108, 118, 124, 125, 132, 143, 144, 147, 148, 150, 160, 161, 170, 171, 172, 175, 176, 177, 191, 193, 197, 198, 229, 257, 269, 270, 292, 295, 296, 300, 344, 348, 349, 380, 421, 428, 435, 568, 572, 574, 614, 658, 677, 693, 716, 718, 724, 726, 740, 764, 769, 771, 773, 801, 804, 810, 827, 850, 858, 861, 864, 931, 943, 948, 1000, 1001, 1088, 1100, 1103, 1106, 1110, 1112, 1115, 1137, 1139, 1142, 1147, 1149, 1151, 1153, 1176, 1178, 1185, 1186, 1194, 1195, 1197, 1215, 1234, 1236, 1238, 1250, 1252, 1253, 1254, 1255, 1279, 1280, 1283, 1288, 1290, 1297, 1300, 1310, 1313, 1336, 1338, 1339, 1340, 1341, 1346, 1349, 1350, 1356, 1357, 1369, 1393, 1397, 1411, 1415, 1428, 1432, 1436, 1441, 1465, 1466, 1487, 1510, 1511, 1535, 1540, 1541, 1555, 1557]",S2PY.tsv
they're,1,5,"[4, 5, 12, 32, 59, 60, 64, 292, 301, 397, 426, 428, 561, 615, 699, 1076, 1112, 1137, 1151, 1189, 1326, 1427, 1540, 1542]",S2PY.tsv
