Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
then,1,1,"[0, 1, 3, 26, 94, 102, 130, 133, 139, 142, 156, 158, 160, 180, 182, 184, 240, 256, 289, 298, 401, 426, 434, 437, 482, 491, 517, 530, 532, 668, 739, 741, 797, 833, 857, 859, 870, 887, 903, 978, 1021]",SQVW.tsv
the,1,1,"[0, 1, 3, 4, 8, 12, 14, 15, 18, 19, 22, 24, 26, 28, 29, 34, 39, 41, 47, 49, 52, 53, 54, 55, 63, 72, 73, 80, 82, 90, 92, 94, 99, 102, 104, 106, 110, 150, 151, 152, 165, 168, 174, 178, 193, 194, 195, 210, 231, 234, 235, 238, 239, 248, 251, 267, 275, 278, 280, 282, 318, 322, 324, 339, 345, 346, 348, 354, 356, 359, 360, 364, 370, 372, 374, 380, 391, 397, 401, 410, 411, 413, 424, 454, 457, 464, 469, 480, 482, 484, 489, 490, 491, 494, 496, 499, 508, 512, 513, 530, 532, 541, 545, 554, 556, 557, 558, 562, 570, 572, 589, 594, 603, 610, 614, 622, 628, 630, 640, 643, 646, 652, 653, 655, 658, 661, 662, 664, 668, 670, 676, 683, 685, 692, 695, 700, 702, 704, 716, 719, 727, 728, 731, 732, 739, 740, 749, 752, 753, 760, 764, 777, 781, 782, 783, 784, 786, 788, 795, 803, 804, 809, 824, 836, 846, 848, 858, 859, 860, 870, 873, 877, 881, 883, 888, 897, 900, 901, 919, 921, 925, 927, 937, 939, 947, 948, 954, 961, 965, 977, 981, 985, 988, 1016, 1018, 1019, 1020, 1024, 1029, 1050, 1058, 1059, 1060, 1062]",SQVW.tsv
you,1,3,"[0, 3, 19, 24, 36, 42, 65, 66, 78, 82, 84, 87, 98, 104, 106, 133, 145, 155, 160, 163, 165, 166, 167, 176, 188, 190, 191, 196, 208, 228, 236, 237, 240, 241, 245, 246, 248, 255, 258, 263, 280, 281, 282, 290, 292, 293, 301, 319, 332, 351, 354, 359, 360, 361, 366, 368, 372, 392, 394, 398, 404, 406, 418, 426, 428, 446, 456, 458, 466, 469, 471, 480, 484, 490, 491, 496, 508, 517, 519, 587, 589, 590, 596, 603, 605, 614, 621, 627, 628, 643, 644, 649, 651, 658, 663, 687, 691, 694, 705, 720, 727, 731, 732, 733, 735, 739, 749, 750, 760, 762, 769, 780, 789, 791, 792, 795, 803, 804, 806, 808, 809, 811, 820, 822, 828, 836, 841, 842, 843, 845, 846, 847, 848, 854, 855, 859, 860, 873, 877, 891, 895, 903, 907, 913, 916, 918, 922, 923, 925, 933, 937, 945, 947, 948, 967, 995, 1005, 1014, 1019, 1023, 1047, 1048, 1055]",SQVW.tsv
notice,1,3,"[0, 3]",SQVW.tsv
do,1,20,"[0, 19, 20, 102, 133, 142, 145, 158, 162, 188, 193, 194, 197, 206, 218, 227, 228, 236, 238, 240, 278, 282, 283, 287, 289, 290, 324, 344, 349, 350, 361, 368, 381, 402, 411, 426, 429, 432, 458, 466, 471, 480, 493, 508, 541, 543, 570, 589, 633, 636, 643, 644, 652, 658, 663, 677, 699, 718, 720, 727, 728, 750, 770, 780, 784, 786, 805, 809, 836, 848, 855, 859, 860, 863, 873, 877, 895, 903, 922, 923, 929, 947, 948, 975, 986, 995, 1005, 1053, 1054]",SQVW.tsv
get,1,22,"[0, 8, 22, 80, 87, 101, 129, 152, 176, 177, 180, 246, 318, 322, 324, 351, 359, 370, 387, 397, 410, 454, 461, 497, 517, 543, 548, 552, 554, 589, 592, 599, 601, 605, 608, 622, 624, 626, 627, 630, 642, 648, 652, 653, 674, 692, 694, 695, 705, 706, 708, 716, 718, 726, 730, 731, 748, 752, 760, 762, 764, 769, 779, 805, 829, 835, 841, 846, 848, 850, 866, 877, 884, 891, 900, 901, 903, 947, 963, 965, 979, 985, 1014, 1019, 1021, 1050]",SQVW.tsv
when you,2,24,"[0, 24, 42, 361, 658, 762, 820, 822]",SQVW.tsv
when,1,28,"[0, 28, 42, 94, 194, 233, 246, 271, 294, 334, 351, 361, 387, 582, 592, 596, 658, 677, 752, 753, 762, 780, 803, 820, 822, 826, 873, 939, 1032]",SQVW.tsv
leak,1,31,"[0, 31, 354, 925]",SQVW.tsv
night,1,345,"[0, 345, 346, 350, 603, 695, 939]",SQVW.tsv
you do,2,458,"[0, 240, 458, 658, 727, 855, 860]",SQVW.tsv
home,1,491,"[0, 351, 491]",SQVW.tsv
do you,2,643,"[0, 19, 133, 145, 188, 228, 282, 508, 643, 644, 720, 750, 780, 836, 848, 860, 873, 877, 947, 948, 995, 1005]",SQVW.tsv
last night,2,695,"[0, 695, 939]",SQVW.tsv
you get,2,841,"[0, 176, 359, 517, 705, 760, 841, 846, 848]",SQVW.tsv
then do,2,859,"[0, 133, 859]",SQVW.tsv
do you do,3,860,"[0, 860]",SQVW.tsv
mm,1,48,"[2, 25, 30, 48, 63, 77, 105, 109, 114, 170, 188, 220, 225, 257, 307, 309, 323, 331, 347, 349, 379, 400, 419, 444, 448, 473, 474, 486, 487, 493, 498, 501, 506, 510, 529, 537, 542, 563, 593, 597, 639, 660, 665, 679, 715, 722, 729, 794, 823, 825, 832, 834, 845, 853, 864, 937, 939, 946, 954, 964, 1036, 1051]",SQVW.tsv
i,1,8,"[1, 3, 4, 6, 8, 10, 20, 22, 31, 50, 82, 86, 87, 99, 130, 134, 151, 153, 160, 162, 166, 170, 173, 177, 184, 185, 191, 206, 208, 210, 218, 231, 233, 251, 252, 258, 271, 272, 273, 277, 281, 283, 284, 291, 322, 324, 360, 362, 369, 384, 388, 402, 411, 435, 436, 447, 448, 451, 453, 466, 468, 469, 509, 534, 578, 580, 583, 586, 587, 590, 591, 592, 596, 599, 601, 606, 621, 624, 626, 630, 632, 634, 638, 640, 648, 652, 653, 659, 661, 662, 664, 668, 670, 672, 695, 699, 702, 713, 714, 716, 718, 719, 734, 735, 737, 739, 744, 751, 760, 764, 773, 775, 796, 815, 820, 821, 822, 826, 828, 835, 848, 854, 855, 865, 869, 883, 887, 888, 903, 929, 931, 945, 947, 949, 965, 981, 985, 987, 989, 1001, 1022, 1032, 1033, 1050, 1056]",SQVW.tsv
