Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
be,1,1,"[0, 1, 2, 7, 12, 17, 29, 34, 47, 50, 51, 52, 54, 60, 62, 69, 74, 75, 77, 78, 80, 84, 87, 88, 97, 109, 130, 135, 145, 146, 147, 148, 149, 150, 151, 154, 170, 173, 177, 181, 185, 195, 197, 199, 203, 209, 211, 212, 214, 215, 221, 225, 228, 229, 236, 242, 244, 245, 255, 258, 266, 269, 270, 278]",SNZS.tsv
so,1,124,"[0, 124, 172, 191, 194, 195, 205, 214, 264]",SNZS.tsv
what,1,129,"[0, 37, 115, 129, 135, 137, 145, 199, 215, 233, 262]",SNZS.tsv
mm,1,71,"[5, 9, 11, 28, 49, 68, 71, 79, 81, 91, 92, 94, 100, 125, 131, 135, 152, 153, 161, 167, 174, 190, 196, 200, 202, 217, 227, 235, 243, 251, 265, 267, 275, 277]",SNZS.tsv
talk about,2,7,"[2, 7]",SNZS.tsv
because,1,10,"[7, 10, 74, 83, 157, 197, 201, 254]",SNZS.tsv
peter,1,25,"[7, 23, 25, 40]",SNZS.tsv
peter pan,2,40,"[7, 40, 67]",SNZS.tsv
about,1,116,"[2, 7, 63, 116, 146, 199, 241, 278]",SNZS.tsv
just,1,56,"[7, 56, 130, 136, 137, 138, 181, 205, 215, 236, 264]",SNZS.tsv
film,1,16,"[2, 16, 44, 86, 95, 109, 249, 250]",SNZS.tsv
that,1,16,"[12, 15, 16, 26, 29, 44, 48, 83, 84, 86, 91, 97, 98, 101, 104, 111, 154, 155, 160, 162, 164, 176, 197, 199, 209, 213, 225, 228, 229, 234, 245, 257, 268]",SNZS.tsv
yeah,1,17,"[16, 17, 24, 32, 42, 52, 56, 58, 61, 63, 64, 74, 82, 89, 93, 103, 106, 108, 110, 117, 127, 129, 150, 157, 166, 170, 176, 182, 197, 204, 207, 226, 240, 245, 246, 256, 270, 274]",SNZS.tsv
no,1,31,"[16, 31, 33, 34, 41, 76, 142, 156, 163, 194, 208, 230, 274]",SNZS.tsv
it's,1,99,"[16, 53, 99, 105, 106, 107, 116, 122, 123, 124, 155, 156, 213]",SNZS.tsv
where,1,19,"[14, 19, 114, 130, 144, 249, 250]",SNZS.tsv
from,1,20,"[19, 20, 91, 97]",SNZS.tsv
oh,1,32,"[21, 32, 39, 44, 112, 120, 166, 171, 180, 204, 207, 219, 248]",SNZS.tsv
i,1,23,"[1, 2, 23, 33, 39, 45, 47, 48, 52, 72, 77, 80, 82, 85, 89, 99, 104, 111, 124, 129, 135, 159, 173, 194, 197, 198, 206, 233, 244, 246]",SNZS.tsv
include peter,2,25,"[23, 25]",SNZS.tsv
a,1,26,"[1, 2, 14, 26, 34, 36, 44, 52, 53, 54, 55, 58, 59, 62, 74, 76, 91, 97, 98, 109, 119, 123, 124, 133, 134, 146, 151, 170, 183, 184, 185, 186, 187, 188, 197, 203, 205, 214, 224, 225, 229, 230, 233, 244, 248, 249, 250, 253, 255, 259, 266, 278]",SNZS.tsv
bite,1,26,"[12, 14, 26, 36, 40, 133, 134]",SNZS.tsv
a bite,2,26,"[14, 26, 133]",SNZS.tsv
me,1,85,"[26, 85]",SNZS.tsv
and,1,37,"[2, 4, 6, 17, 18, 20, 27, 33, 37, 38, 40, 41, 48, 52, 54, 60, 64, 65, 66, 69, 83, 85, 89, 97, 101, 102, 107, 108, 113, 122, 126, 128, 129, 130, 135, 139, 141, 150, 151, 159, 160, 168, 170, 172, 173, 175, 177, 178, 179, 181, 182, 191, 193, 197, 205, 207, 210, 211, 221, 232, 233, 234, 236, 240, 242, 244, 248, 249, 252, 253, 255, 258, 260, 261, 262, 264, 266, 268, 269, 271, 272, 274, 276, 278]",SNZS.tsv
then,1,37,"[2, 33, 37, 38, 40, 53, 126, 128, 154, 170, 173, 178, 205, 261, 262, 268, 269, 278]",SNZS.tsv
he,1,37,"[29, 33, 34, 36, 37, 38, 40, 74, 75, 78, 80, 85, 90, 160, 173, 179, 181, 182, 189, 191, 197, 236]",SNZS.tsv
and then he,3,37,"[33, 37, 38, 40]",SNZS.tsv
and then,2,126,"[33, 37, 126, 128, 170, 178, 205, 261, 262, 268, 269, 278]",SNZS.tsv
see,1,195,"[39, 86, 104, 111, 195]",SNZS.tsv
like a,2,44,"[1, 44, 188]",SNZS.tsv
like,1,40,"[1, 40, 44, 47, 54, 56, 72, 74, 85, 89, 95, 101, 136, 146, 150, 160, 188, 189, 198, 199, 203, 209, 213, 215, 216, 255, 258]",SNZS.tsv
good,1,88,"[34, 44, 88, 105, 107, 205]",SNZS.tsv
they,1,51,"[14, 22, 41, 51, 52, 56, 57, 58, 60, 62, 63, 69, 97, 107, 108, 129, 130, 132, 133, 134, 136, 137, 138, 141, 142, 144, 149, 160, 162, 169, 170, 189, 191, 197, 205, 207, 215, 222, 234, 240, 242, 248, 249, 250, 253, 254, 270]",SNZS.tsv
be they,2,69,"[51, 69]",SNZS.tsv
do,1,53,"[1, 12, 27, 48, 53, 84, 95, 108, 122, 129, 133, 134, 141, 162, 209, 238, 245, 246, 262]",SNZS.tsv
you,1,53,"[2, 12, 14, 27, 48, 53, 54, 69, 83, 85, 95, 135, 245, 262, 269]",SNZS.tsv
do you think,3,53,"[12, 53]",SNZS.tsv
do you,2,53,"[12, 27, 48, 53, 95, 245, 262]",SNZS.tsv
think,1,47,"[12, 33, 47, 48, 52, 53, 97, 99, 107, 124, 159, 194, 197, 206, 233, 234, 244, 269, 270]",SNZS.tsv
real,1,67,"[53, 67]",SNZS.tsv
it's a,2,123,"[53, 123, 124]",SNZS.tsv
that's,1,53,"[15, 53, 136, 188, 215, 225]",SNZS.tsv
the,1,55,"[2, 4, 20, 29, 31, 33, 40, 41, 47, 48, 50, 52, 55, 63, 64, 66, 67, 69, 83, 85, 95, 97, 102, 103, 107, 124, 128, 130, 135, 145, 147, 148, 150, 151, 154, 160, 162, 169, 170, 172, 173, 178, 191, 198, 199, 201, 206, 209, 216, 222, 228, 238, 245, 264, 271, 273, 274, 278]",SNZS.tsv
it,1,55,"[2, 41, 45, 47, 54, 55, 56, 62, 84, 85, 87, 88, 89, 97, 108, 113, 122, 124, 135, 141, 142, 144, 157, 160, 168, 170, 173, 185, 189, 205, 206, 215, 225, 236, 266]",SNZS.tsv
have,1,55,"[33, 54, 55, 56, 60, 62, 128, 133, 157, 173, 182, 216, 234, 244, 250, 253]",SNZS.tsv
boys,1,55,"[48, 55]",SNZS.tsv
the lose boys,3,55,"[50, 55]",SNZS.tsv
it a,2,185,"[55, 185]",SNZS.tsv
i'm,1,55,"[52, 55, 129, 193]",SNZS.tsv
sure,1,129,"[55, 129, 193, 236]",SNZS.tsv
a lot,2,62,"[55, 62, 197]",SNZS.tsv
in,1,59,"[12, 54, 57, 58, 59, 67, 99, 122, 191, 201, 206, 210, 228, 238]",SNZS.tsv
oak,1,59,"[57, 59]",SNZS.tsv
big,1,97,"[59, 97, 128, 145, 170, 201, 258, 278]",SNZS.tsv
tree,1,199,"[59, 198, 199, 201, 205]",SNZS.tsv
a big,2,170,"[59, 170, 278]",SNZS.tsv
know,1,63,"[27, 33, 48, 62, 63, 77, 129, 135, 155, 156, 197, 215, 240, 262]",SNZS.tsv
don't,1,63,"[33, 63, 77, 194, 254]",SNZS.tsv
the mermaids,2,67,"[63, 67]",SNZS.tsv
well,1,63,"[54, 63, 67, 75, 78, 84, 85, 175, 176, 224]",SNZS.tsv
mermaids,1,69,"[63, 69]",SNZS.tsv
they know,2,197,"[63, 197, 215, 240]",SNZS.tsv
smee,1,85,"[72, 85]",SNZS.tsv
not,1,75,"[29, 71, 75, 76, 116, 129, 155, 156, 176, 193, 197, 215, 228]",SNZS.tsv
he's,1,75,"[73, 75, 76, 252]",SNZS.tsv
if,1,77,"[1, 2, 40, 54, 69, 77, 83, 129, 132, 141, 142, 146, 148, 151, 162, 189, 193, 266]",SNZS.tsv
hook,1,77,"[29, 30, 33, 34, 77, 83, 84]",SNZS.tsv
i don't know,3,77,"[33, 77]",SNZS.tsv
jam hook,2,33,"[30, 33, 34, 77, 83]",SNZS.tsv
jam,1,84,"[30, 33, 34, 83, 84]",SNZS.tsv
his,1,84,"[36, 40, 41, 84, 182]",SNZS.tsv
that be,2,199,"[84, 199]",SNZS.tsv
for,1,86,"[33, 86, 183, 191, 197, 215]",SNZS.tsv
tinker bell,2,86,"[85, 86, 95, 99, 102, 207, 209, 257]",SNZS.tsv
that tinker bell,3,209,"[86, 209, 257]",SNZS.tsv
tinker,1,222,"[86, 95, 99, 222, 224, 225, 257]",SNZS.tsv
it be,2,88,"[87, 88, 97, 135]",SNZS.tsv
her,1,118,"[90, 118, 234, 241, 252]",SNZS.tsv
didn't,1,135,"[90, 135, 162, 206, 207]",SNZS.tsv
one,1,98,"[2, 31, 67, 95, 98, 111, 118, 119, 170, 172, 173, 221]",SNZS.tsv
beast,1,98,"[97, 98, 145, 147, 151, 154, 234]",SNZS.tsv
this,1,122,"[109, 122, 145, 146, 147, 148, 150, 151, 203, 244, 258]",SNZS.tsv
be this,2,148,"[109, 145, 148, 150, 151]",SNZS.tsv
all,1,111,"[20, 47, 48, 108, 111, 128, 130, 136, 228]",SNZS.tsv
at,1,138,"[111, 138, 144, 236]",SNZS.tsv
they just,2,137,"[130, 136, 137, 138]",SNZS.tsv
and do,2,141,"[27, 48, 141]",SNZS.tsv
throw,1,41,"[40, 41, 136, 138, 141, 142, 144]",SNZS.tsv
