Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
learn,1,1,"[0, 1, 201, 213]",SXH5.tsv
recycle,1,35,"[0, 35, 46, 47, 93, 95, 127, 131, 132, 134, 135]",SXH5.tsv
be gonna,2,136,"[0, 136]",SXH5.tsv
learn about,2,202,"[0, 201, 202, 213]",SXH5.tsv
school,1,23,"[6, 23, 101, 105, 106, 110, 150, 152, 153, 157]",SXH5.tsv
plastic,1,10,"[1, 3, 9, 10, 11, 46, 47, 48, 50, 57, 93, 135, 136]",SXH5.tsv
die,1,10,"[9, 10, 19]",SXH5.tsv
really,1,82,"[18, 30, 82, 161, 247, 249]",SXH5.tsv
in the,2,19,"[1, 3, 19, 20, 57, 136, 142, 143, 157, 167, 169, 190, 193, 232, 257]",SXH5.tsv
in the sea,3,20,"[3, 19, 20]",SXH5.tsv
well,1,21,"[20, 21, 51, 62, 75, 76, 91, 95, 135, 143, 164, 185, 209, 220, 244, 255, 257]",SXH5.tsv
go,1,22,"[1, 5, 22, 28, 29, 30, 43, 66, 76, 92, 95, 110]",SXH5.tsv
it go,2,22,"[5, 22, 30, 66]",SXH5.tsv
cos,1,22,"[5, 11, 22, 77, 92, 191, 198, 218, 224, 256]",SXH5.tsv
see,1,22,"[5, 22, 60, 84, 188]",SXH5.tsv
do it,2,169,"[22, 162, 169, 170, 173, 179, 193, 195, 265, 266]",SXH5.tsv
do you,2,28,"[1, 7, 28, 58, 88, 89, 101, 149, 172, 174, 180, 199, 231, 240, 261]",SXH5.tsv
know,1,28,"[1, 7, 15, 28, 33, 48, 69, 70, 89, 102, 127, 149, 264, 265]",SXH5.tsv
big,1,138,"[30, 138]",SXH5.tsv
you know,2,33,"[1, 7, 33, 102, 127]",SXH5.tsv
bin,1,33,"[1, 33, 93, 135, 136, 137, 142, 143]",SXH5.tsv
we have,2,46,"[33, 46, 135, 228]",SXH5.tsv
general waste,2,39,"[37, 39]",SXH5.tsv
yeah,1,41,"[7, 19, 21, 29, 31, 38, 41, 42, 44, 63, 77, 94, 117, 132, 136, 138, 140, 146, 148, 152, 160, 163, 171, 175, 186, 189, 204, 232, 237, 239, 245, 253, 254, 260, 262, 265, 266]",SXH5.tsv
that's,1,115,"[43, 65, 115]",SXH5.tsv
i think,2,47,"[5, 46, 47, 65, 77, 87, 93]",SXH5.tsv
think,1,47,"[5, 46, 47, 58, 65, 74, 77, 87, 93, 218, 220, 269]",SXH5.tsv
be on,2,245,"[47, 245]",SXH5.tsv
put,1,51,"[1, 21, 51, 73, 135, 136, 139, 142, 239]",SXH5.tsv
could,1,51,"[3, 51, 65, 86]",SXH5.tsv
that be,2,138,"[51, 93, 138]",SXH5.tsv
be a,2,153,"[51, 153, 157, 187]",SXH5.tsv
i'm,1,76,"[54, 76, 167, 256, 260, 272]",SXH5.tsv
come up,2,58,"[11, 58]",SXH5.tsv
get,1,58,"[11, 19, 48, 58, 89, 93, 98, 100, 108, 136, 138, 162, 187, 198, 231, 259, 270]",SXH5.tsv
into the,2,188,"[65, 89, 188]",SXH5.tsv
why not,2,136,"[68, 136]",SXH5.tsv
know to hold treasure,4,70,"[69, 70]",SXH5.tsv
ever,1,74,"[1, 74, 167]",SXH5.tsv
don't think,2,74,"[5, 74, 269]",SXH5.tsv
hear that,2,74,"[73, 74]",SXH5.tsv
i've,1,74,"[73, 74, 75, 110, 120, 188]",SXH5.tsv
hear,1,75,"[74, 75, 219, 222]",SXH5.tsv
for the,2,78,"[77, 78, 98, 99, 200]",SXH5.tsv
for the environment,3,200,"[77, 200]",SXH5.tsv
the earth,2,78,"[3, 78, 79, 80, 89]",SXH5.tsv
of the,2,89,"[78, 79, 80, 89, 232]",SXH5.tsv
make,1,87,"[1, 87, 164, 200, 215, 218, 220]",SXH5.tsv
and it,2,87,"[3, 19, 50, 86, 87, 90, 150]",SXH5.tsv
do you know,3,89,"[1, 89]",SXH5.tsv
bite,1,89,"[1, 11, 46, 89]",SXH5.tsv
people be,2,89,"[5, 89]",SXH5.tsv
and do you know,4,89,"[7, 89]",SXH5.tsv
you know the,3,102,"[89, 102]",SXH5.tsv
