Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
go to,2,11,"[0, 2, 6, 11, 13, 15, 64, 78, 79, 97, 123, 135, 144, 156, 160, 176, 182, 184, 207, 209, 260, 261, 263, 267, 275, 284, 336, 349, 352, 397, 399, 402, 405, 410]",S3CK.tsv
day,1,81,"[0, 81, 82, 192, 227, 267]",S3CK.tsv
go,1,87,"[0, 2, 6, 8, 64, 78, 87, 93, 97, 123, 130, 135, 136, 140, 144, 145, 149, 152, 156, 158, 160, 176, 182, 184, 207, 209, 236, 249, 254, 260, 261, 263, 267, 275, 283, 284, 309, 311, 315, 322, 327, 328, 336, 349, 352, 353, 397, 399, 402, 405, 410]",S3CK.tsv
kind of,2,93,"[0, 93, 104, 115, 203, 230, 249, 262, 345, 383]",S3CK.tsv
or just,2,151,"[0, 151]",S3CK.tsv
nothing,1,161,"[0, 161, 364]",S3CK.tsv
to do,2,199,"[0, 60, 82, 176, 199]",S3CK.tsv
you go,2,322,"[0, 2, 6, 152, 176, 182, 322, 327, 349, 399]",S3CK.tsv
every,1,331,"[0, 227, 233, 331, 344]",S3CK.tsv
morning,1,101,"[4, 101]",S3CK.tsv
brush,1,259,"[4, 6, 259, 260]",S3CK.tsv
teeth,1,259,"[4, 6, 259, 260]",S3CK.tsv
do you,2,41,"[6, 41, 56, 58, 60, 64, 68, 90, 92, 94, 140, 164, 192, 261, 294, 327, 349, 391]",S3CK.tsv
last,1,251,"[6, 251, 260]",S3CK.tsv
bed,1,259,"[6, 259]",S3CK.tsv
okay,1,9,"[8, 9, 20, 23, 33, 35, 56, 60, 62, 95, 120, 121, 137, 138, 139, 156, 158, 175, 182, 189, 200, 204, 206, 208, 238, 264, 266, 268, 282, 303, 371, 398, 401]",S3CK.tsv
you can,2,13,"[8, 13, 19, 82, 87, 93, 162, 213, 309, 317, 318, 322, 367]",S3CK.tsv
something,1,93,"[8, 82, 93, 172, 247, 254, 261, 267, 283, 293, 322, 374, 378]",S3CK.tsv
week,1,163,"[8, 10, 163]",S3CK.tsv
maybe,1,197,"[8, 96, 152, 172, 174, 196, 197, 267, 269, 275, 283, 287, 407]",S3CK.tsv
oh okay,2,206,"[8, 206, 282]",S3CK.tsv
or something,2,322,"[8, 172, 293, 322, 374]",S3CK.tsv
much,1,41,"[10, 41, 83, 88, 94, 222, 233, 251, 253, 328, 402]",S3CK.tsv
that be,2,143,"[10, 107, 143, 167, 286, 288, 303, 317]",S3CK.tsv
actually,1,167,"[10, 167, 309, 357, 359, 402]",S3CK.tsv
i'm,1,14,"[11, 13, 14, 27, 34, 54, 94, 97, 99, 101, 120, 156, 203, 246, 248, 267, 298, 320, 331, 336, 392, 394, 397]",S3CK.tsv
text,1,23,"[14, 23]",S3CK.tsv
it be,2,29,"[14, 29, 60, 72, 78, 79, 136, 233, 290, 298, 305, 310, 361, 394]",S3CK.tsv
cos,1,53,"[14, 53, 60, 78, 87, 96, 97, 144, 146, 161, 163, 192, 237, 243, 245, 254, 293, 331, 372, 404]",S3CK.tsv
when it be,3,79,"[14, 79]",S3CK.tsv
i just,2,81,"[14, 81, 83, 123, 230]",S3CK.tsv
when it,2,322,"[14, 322]",S3CK.tsv
yeah,1,16,"[1, 16, 25, 26, 44, 46, 48, 49, 52, 56, 62, 63, 64, 65, 67, 76, 80, 82, 94, 98, 101, 104, 108, 124, 126, 142, 149, 162, 163, 167, 168, 170, 177, 179, 191, 214, 216, 218, 222, 224, 246, 252, 254, 257, 258, 261, 271, 275, 289, 300, 301, 302, 303, 304, 306, 310, 312, 314, 316, 323, 339, 343, 347, 351, 355, 358, 361, 378, 396, 404, 408, 409]",S3CK.tsv
do i,2,81,"[18, 81, 303]",S3CK.tsv
well,1,85,"[18, 22, 24, 32, 76, 84, 85, 93, 132, 156, 159, 161, 165, 172, 182, 210, 213, 231, 232, 233, 247, 253, 267, 269, 281, 290, 348, 366, 408]",S3CK.tsv
need to,2,87,"[18, 22, 87]",S3CK.tsv
no can,2,297,"[18, 297]",S3CK.tsv
it's just,2,47,"[22, 47, 363, 391, 394]",S3CK.tsv
the time,2,49,"[22, 49, 152, 163, 165, 394]",S3CK.tsv
time,1,81,"[22, 81, 82, 146, 152, 163, 165, 260, 328, 331, 342, 344, 394]",S3CK.tsv
see,1,106,"[22, 50, 64, 78, 106, 112, 114, 140, 152, 163, 236, 275, 304, 309, 397]",S3CK.tsv
people,1,230,"[22, 60, 217, 230, 234, 254, 309, 402, 403, 404, 405]",S3CK.tsv
come,1,251,"[22, 78, 205, 251, 269, 299, 322, 393]",S3CK.tsv
get,1,24,"[3, 11, 13, 24, 42, 60, 82, 93, 114, 167, 172, 192, 203, 254, 256, 259, 269, 301, 309, 322, 334, 380, 381]",S3CK.tsv
phone,1,24,"[13, 24]",S3CK.tsv
