Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
wed,1,3,"[0, 3, 7, 39, 65, 70, 116, 189, 191, 217, 220, 221, 222, 225, 240, 316, 319, 401, 454, 477, 604, 648]",SHZP.tsv
be you,2,7,"[0, 4, 7]",SHZP.tsv
talk,1,105,"[0, 105, 116, 217, 350, 430, 450, 454, 477, 604]",SHZP.tsv
about the,2,133,"[0, 133, 217, 477]",SHZP.tsv
and you,2,135,"[0, 2, 120, 135, 194, 282, 303, 309, 424, 442, 477, 532]",SHZP.tsv
so what be,3,372,"[0, 372]",SHZP.tsv
what be,2,372,"[0, 217, 372]",SHZP.tsv
right,1,233,"[0, 8, 40, 217, 233, 259, 267, 287, 302, 340, 382, 427, 433, 456, 588, 589, 607, 626, 638, 643, 664]",SHZP.tsv
be we,2,428,"[0, 217, 428]",SHZP.tsv
we talk about,3,430,"[0, 217, 430]",SHZP.tsv
talk about,2,430,"[0, 430, 450, 454]",SHZP.tsv
be talk about the,4,450,"[0, 450, 454]",SHZP.tsv
erm so,2,471,"[0, 471]",SHZP.tsv
wed and you,3,477,"[0, 477]",SHZP.tsv
we talk,2,604,"[0, 217, 604]",SHZP.tsv
wed and,2,604,"[0, 604]",SHZP.tsv
mother of the,3,2,"[1, 2]",SHZP.tsv
go into the back of,5,3,"[2, 3]",SHZP.tsv
go,1,3,"[2, 3, 7, 23, 26, 31, 37, 54, 65, 151, 175, 186, 202, 246, 265, 266, 281, 316, 317, 319, 345, 377, 424, 488, 492, 500, 504, 506, 566, 586, 604, 656, 666]",SHZP.tsv
wardrobe,1,3,"[2, 3, 7]",SHZP.tsv
the back of,3,7,"[2, 7, 15]",SHZP.tsv
yeah,1,27,"[2, 27, 35, 38, 43, 50, 56, 57, 59, 64, 77, 79, 93, 97, 99, 105, 109, 114, 133, 167, 179, 181, 184, 192, 196, 200, 203, 205, 207, 212, 235, 249, 258, 295, 297, 313, 327, 329, 333, 335, 338, 342, 343, 347, 352, 353, 364, 369, 375, 377, 386, 392, 394, 395, 397, 399, 422, 429, 431, 434, 473, 475, 479, 485, 496, 503, 507, 515, 521, 524, 549, 554, 555, 556, 557, 558, 561, 575, 587, 589, 599, 602, 622, 624, 645, 647, 652, 653, 657]",SHZP.tsv
mother of,2,41,"[2, 41]",SHZP.tsv
the bride,2,41,"[2, 41, 373]",SHZP.tsv
mother,1,139,"[2, 139]",SHZP.tsv
of the,2,116,"[1, 2, 116, 270, 363, 504, 522, 584, 586]",SHZP.tsv
back,1,284,"[2, 217, 265, 284]",SHZP.tsv
want,1,65,"[4, 28, 65, 175, 194, 266, 363, 376, 401, 465, 477]",SHZP.tsv
don't want,2,175,"[4, 175]",SHZP.tsv
a cup of,3,177,"[4, 177]",SHZP.tsv
coffee,1,177,"[4, 177]",SHZP.tsv
sure,1,345,"[4, 345, 487]",SHZP.tsv
want a,2,401,"[4, 401]",SHZP.tsv
oh right,2,233,"[8, 40, 233, 259, 267, 287, 302, 340, 456, 626, 638, 643]",SHZP.tsv
colour,1,393,"[10, 377, 393]",SHZP.tsv
alter,1,239,"[16, 239]",SHZP.tsv
can't,1,266,"[16, 266, 597]",SHZP.tsv
you have,2,401,"[16, 86, 401, 438, 454, 471]",SHZP.tsv
have it,2,613,"[16, 613]",SHZP.tsv
length,1,18,"[13, 18]",SHZP.tsv
that's,1,20,"[17, 20, 71, 109, 117, 118, 120, 129, 151, 185, 254, 282, 291, 306, 314, 319, 361, 363, 448, 455, 461, 595, 608]",SHZP.tsv
really,1,49,"[20, 28, 49, 57, 105, 147, 151, 166, 175, 211, 213, 252, 255, 257, 294, 345, 421, 424, 501, 523, 537, 543, 576, 596, 604, 608, 662]",SHZP.tsv
good,1,109,"[20, 109, 193, 213, 455, 564, 571, 608]",SHZP.tsv
look,1,22,"[17, 22, 23, 32, 34, 41, 239, 244, 256, 258, 377, 392, 454, 457, 578, 604, 617]",SHZP.tsv
something,1,31,"[26, 31, 62, 333, 401, 464, 504, 571]",SHZP.tsv
it's a,2,67,"[26, 67, 190, 195, 477, 560]",SHZP.tsv
to go,2,175,"[26, 175, 246, 492]",SHZP.tsv
do it,2,28,"[13, 28, 307, 363, 648]",SHZP.tsv
i i,2,28,"[17, 28, 29, 36, 41, 145, 195, 488, 591]",SHZP.tsv
have to,2,31,"[28, 31, 34, 39, 44, 307, 454, 471, 492, 522]",SHZP.tsv
want to,2,65,"[28, 65, 194, 266, 363, 401, 465, 477]",SHZP.tsv
really don't want to,4,175,"[28, 175]",SHZP.tsv
to do,2,102,"[28, 102, 401, 490]",SHZP.tsv
to have,2,604,"[28, 316, 604, 617, 665]",SHZP.tsv
i think,2,32,"[17, 29, 32, 58, 110, 145, 151, 195, 230, 317, 319, 347, 351, 504, 536, 561, 578, 591, 639, 665, 666]",SHZP.tsv
might,1,32,"[17, 32]",SHZP.tsv
think,1,32,"[17, 23, 29, 32, 58, 110, 122, 145, 151, 195, 230, 317, 319, 336, 345, 347, 351, 461, 471, 504, 536, 561, 578, 591, 639, 665, 666]",SHZP.tsv
look at,2,32,"[23, 32, 41, 239, 244, 256, 258, 604]",SHZP.tsv
but the,2,93,"[32, 93, 151, 266]",SHZP.tsv
nice,1,71,"[32, 71, 131, 457, 597]",SHZP.tsv
quite,1,106,"[32, 106, 110, 153, 199, 334, 387, 396, 457, 608]",SHZP.tsv
might be,2,239,"[32, 239]",SHZP.tsv
thing,1,57,"[32, 57, 185, 254, 307, 521, 564, 638, 658]",SHZP.tsv
the other,2,454,"[32, 454, 584]",SHZP.tsv
quite nice,2,457,"[32, 457]",SHZP.tsv
be that,2,116,"[32, 116, 578, 624]",SHZP.tsv
ago,1,34,"[7, 34, 515]",SHZP.tsv
all the,2,34,"[13, 34, 151, 258, 488, 604, 627]",SHZP.tsv
hundreds of,2,34,"[23, 34]",SHZP.tsv
one,1,34,"[23, 34, 52, 54, 55, 99, 125, 151, 282, 337, 363, 420, 454, 471, 504, 530, 575]",SHZP.tsv
and have to,3,34,"[31, 34]",SHZP.tsv
i be,2,34,"[31, 34, 594]",SHZP.tsv
have to buy,3,39,"[34, 39]",SHZP.tsv
buy,1,39,"[34, 39, 254]",SHZP.tsv
notice,1,60,"[34, 60, 65]",SHZP.tsv
could have,2,83,"[34, 83, 454]",SHZP.tsv
one in,2,151,"[34, 151]",SHZP.tsv
things,1,155,"[34, 86, 155, 317, 345, 376, 482, 518]",SHZP.tsv
pound,1,190,"[34, 190]",SHZP.tsv
months,1,236,"[34, 229, 236, 268]",SHZP.tsv
make,1,309,"[34, 309, 390, 440, 465, 471, 496, 532, 564]",SHZP.tsv
could,1,322,"[34, 83, 322, 337, 454]",SHZP.tsv
find,1,420,"[34, 420, 492]",SHZP.tsv
short,1,62,"[34, 62, 562]",SHZP.tsv
on the,2,39,"[36, 39, 194, 454, 530, 532]",SHZP.tsv
and and,2,155,"[36, 155, 301]",SHZP.tsv
fifty,1,288,"[36, 288]",SHZP.tsv
