Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
stick,1,1,"[0, 1, 137, 140, 438]",S3SA.tsv
open,1,1,"[0, 1, 10, 12, 80, 309, 318, 321]",S3SA.tsv
or something,2,6,"[0, 6, 12, 48, 60, 104, 177, 238, 239, 303, 324, 371, 375, 383, 385, 450]",S3SA.tsv
what they,2,12,"[0, 12, 137, 359, 456]",S3SA.tsv
one,1,27,"[0, 27, 35, 36, 46, 74, 84, 127, 143, 147, 160, 163, 167, 180, 181, 201, 226, 232, 324, 334, 342, 367, 371, 382, 448, 497, 512]",S3SA.tsv
close,1,81,"[0, 81]",S3SA.tsv
think,1,73,"[0, 50, 56, 69, 73, 87, 116, 118, 123, 126, 135, 136, 150, 177, 179, 308, 316, 317, 334, 363, 367, 371, 382, 383, 385, 393, 403, 414, 421, 433, 438, 453, 458, 469, 472, 481, 498]",S3SA.tsv
can't,1,118,"[0, 118, 181, 352, 359, 388, 414, 423, 425, 497, 504]",S3SA.tsv
i think,2,50,"[0, 50, 56, 69, 116, 150, 177, 179, 308, 363, 367, 371, 383, 385, 393, 403, 414, 421, 433, 438, 458, 472, 498]",S3SA.tsv
they be,2,66,"[0, 66, 190, 357, 359, 469]",S3SA.tsv
they do,2,54,"[0, 29, 54, 135, 216, 217, 232]",S3SA.tsv
something,1,173,"[0, 6, 12, 173, 177, 229, 238, 239, 266, 287, 303, 324, 371, 375, 383, 385, 450, 516]",S3SA.tsv
try to,2,317,"[0, 317, 472]",S3SA.tsv
do they,2,135,"[0, 29, 135, 392]",S3SA.tsv
it or,2,457,"[0, 457]",S3SA.tsv
yeah,1,14,"[2, 11, 14, 16, 17, 20, 21, 31, 37, 38, 41, 44, 53, 56, 57, 59, 65, 67, 73, 75, 82, 86, 96, 100, 102, 103, 110, 114, 122, 124, 125, 128, 131, 136, 142, 147, 150, 152, 158, 164, 170, 176, 177, 183, 185, 188, 191, 198, 205, 210, 211, 212, 222, 224, 237, 239, 240, 243, 245, 250, 251, 261, 263, 271, 275, 276, 278, 280, 285, 290, 293, 298, 308, 312, 316, 320, 322, 323, 324, 325, 326, 328, 331, 336, 337, 339, 343, 345, 348, 351, 356, 357, 358, 359, 361, 362, 364, 365, 367, 371, 372, 373, 374, 376, 378, 385, 386, 387, 389, 391, 393, 395, 400, 403, 405, 406, 407, 409, 411, 413, 415, 417, 418, 420, 424, 426, 428, 430, 431, 432, 433, 434, 436, 439, 441, 445, 454, 460, 461, 462, 464, 466, 467, 468, 469, 470, 472, 473, 478, 480, 484, 485, 487, 490, 491, 496, 501, 508, 510]",S3SA.tsv
yeah yeah,2,56,"[2, 56, 65, 128, 198, 222, 371, 391, 411, 460, 467]",S3SA.tsv
repair,1,5,"[3, 5]",S3SA.tsv
cos,1,8,"[5, 8, 13, 44, 46, 52, 74, 80, 94, 137, 140, 147, 179, 197, 226, 230, 245, 252, 277, 307, 314, 324, 373, 392, 397, 412, 443, 449, 452, 456, 480, 483, 485]",S3SA.tsv
have to,2,31,"[5, 31, 43, 72, 99, 108, 171, 199, 303, 379, 392, 396, 425, 457, 472, 481, 487]",S3SA.tsv
they have,2,37,"[5, 37, 177, 214, 220, 238, 272, 377, 452, 469, 512]",S3SA.tsv
go,1,61,"[5, 9, 61, 72, 84, 87, 91, 98, 101, 102, 104, 111, 125, 139, 143, 154, 170, 189, 192, 196, 197, 199, 208, 209, 226, 234, 235, 244, 254, 266, 285, 286, 287, 291, 297, 318, 321, 322, 324, 325, 329, 358, 379, 386, 410, 492, 501, 519]",S3SA.tsv
it cos,2,74,"[5, 74, 373]",S3SA.tsv
wonder,1,337,"[5, 337]",S3SA.tsv
wonder if,2,386,"[5, 386]",S3SA.tsv
get,1,9,"[3, 9, 23, 25, 29, 34, 41, 46, 55, 69, 80, 84, 85, 98, 115, 126, 127, 128, 130, 137, 147, 148, 150, 162, 170, 189, 192, 195, 201, 205, 206, 209, 227, 228, 230, 239, 241, 258, 274, 276, 284, 287, 309, 314, 318, 321, 324, 328, 330, 337, 339, 340, 341, 342, 346, 347, 349, 353, 355, 373, 403, 426, 435, 438, 448, 459, 461, 472, 486, 494, 497, 515, 517, 518, 519, 522]",S3SA.tsv
need,1,9,"[4, 6, 9, 10, 12, 74, 103, 118, 186, 192, 198, 366, 516]",S3SA.tsv
i don't know how,4,12,"[9, 12, 69, 394, 396, 457]",S3SA.tsv
they're,1,14,"[9, 14, 57, 60, 151, 154, 166, 170, 181, 187, 188, 251, 272, 312, 388, 405, 408, 462, 464]",S3SA.tsv
know,1,23,"[9, 12, 23, 29, 31, 32, 43, 44, 48, 50, 52, 69, 73, 85, 86, 93, 98, 114, 116, 133, 137, 139, 164, 173, 176, 207, 209, 210, 213, 214, 220, 229, 231, 237, 238, 239, 244, 254, 264, 273, 281, 287, 299, 307, 309, 310, 312, 324, 334, 355, 357, 361, 367, 371, 375, 386, 388, 394, 396, 403, 408, 414, 425, 433, 435, 457, 458, 462, 472, 485, 489, 502, 511, 517]",S3SA.tsv
i don't know,3,43,"[9, 12, 43, 44, 69, 98, 207, 229, 238, 244, 273, 299, 310, 312, 355, 357, 394, 396, 403, 433, 435, 457, 458, 462, 485, 489]",S3SA.tsv
it's get,2,29,"[9, 29, 34, 55, 314, 373]",S3SA.tsv
probably,1,74,"[9, 35, 74, 123, 140, 190, 211, 241, 397, 409, 438, 461, 472, 495, 509]",S3SA.tsv
i don't,2,34,"[9, 12, 34, 43, 44, 54, 69, 71, 87, 98, 135, 136, 207, 229, 234, 238, 244, 273, 299, 310, 312, 338, 355, 357, 369, 382, 394, 396, 403, 433, 435, 450, 457, 458, 462, 485, 489, 520]",S3SA.tsv
go to,2,87,"[9, 72, 87, 91, 101, 102, 104, 139, 143, 154, 170, 189, 196, 197, 209, 226, 234, 235, 254, 285, 286, 287, 291, 297, 318, 324, 325, 329, 379, 386, 410, 519]",S3SA.tsv
they're go to,3,154,"[9, 154, 170]",S3SA.tsv
don't know how,3,394,"[9, 69, 394]",S3SA.tsv
though,1,310,"[9, 223, 310, 334, 355, 418, 512, 518]",S3SA.tsv
because it,2,29,"[9, 29, 459]",S3SA.tsv
it probably,2,509,"[9, 509]",S3SA.tsv
well,1,13,"[3, 6, 10, 13, 14, 25, 27, 31, 55, 70, 74, 80, 84, 97, 108, 127, 138, 147, 163, 191, 234, 270, 276, 277, 303, 307, 343, 345, 347, 354, 357, 364, 392, 448, 484, 485, 486, 497, 509, 513, 516, 517, 520, 521]",S3SA.tsv
as well,2,14,"[13, 14, 31, 147, 270, 276, 347, 517]",S3SA.tsv
long,1,84,"[13, 84, 98, 107, 170, 221, 226, 359]",S3SA.tsv
would,1,15,"[10, 15, 49, 56, 73, 74, 139, 303, 399, 408, 457, 469, 485, 509, 512]",S3SA.tsv
it doesn't matter,3,16,"[15, 16]",S3SA.tsv
but it,2,23,"[15, 23, 26, 49, 270, 429]",S3SA.tsv
no i,2,85,"[15, 85, 173, 174, 207, 369, 486, 504]",S3SA.tsv
would have,2,303,"[15, 303, 408]",S3SA.tsv
just a,2,81,"[35, 81]",S3SA.tsv
it be,2,35,"[21, 23, 29, 35, 36, 69, 89, 91, 139, 169, 179, 256, 270, 281, 303, 322, 367, 371, 377, 379, 381, 385, 394, 399]",S3SA.tsv
three,1,101,"[35, 101]",S3SA.tsv
it's probably,2,438,"[35, 438]",S3SA.tsv
bring,1,190,"[72, 190, 337, 345, 351, 359, 364, 383]",S3SA.tsv
to have,2,272,"[72, 102, 272]",S3SA.tsv
it out,2,137,"[72, 137, 280]",S3SA.tsv
keep,1,76,"[23, 24, 32, 39, 46, 69, 70, 76, 116, 226, 457]",S3SA.tsv
in the,2,76,"[65, 76, 77, 99, 101, 110, 137, 238, 253, 416, 483, 494]",S3SA.tsv
can do,2,108,"[3, 108]",S3SA.tsv
be it,2,108,"[78, 108, 157, 371, 396, 417, 501]",S3SA.tsv
want,1,108,"[54, 69, 71, 108, 127, 144, 201, 226, 318, 321, 327, 334, 383, 438, 441, 450, 513]",S3SA.tsv
he's,1,234,"[108, 153, 189, 234, 235, 246, 248, 249]",S3SA.tsv
come,1,113,"[37, 111, 113, 125, 139, 269, 282, 284, 285, 304, 308, 386, 390, 467]",S3SA.tsv
that's,1,117,"[19, 21, 31, 74, 106, 107, 117, 148, 172, 189, 190, 192, 260, 323, 335, 364, 406, 433, 456, 522]",S3SA.tsv
ask,1,130,"[4, 6, 130, 174]",S3SA.tsv
get for,2,130,"[85, 130]",S3SA.tsv
be you,2,130,"[89, 91, 92, 116, 130, 172, 519]",S3SA.tsv
holiday,1,130,"[125, 130]",S3SA.tsv
to get,2,130,"[84, 130, 170, 192, 201, 205, 258, 287, 318, 461, 519]",S3SA.tsv
for the,2,232,"[130, 232, 459]",S3SA.tsv
little,1,178,"[134, 151, 178, 179, 199, 324, 414]",S3SA.tsv
with the,2,134,"[21, 134, 266, 342]",S3SA.tsv
in it,2,509,"[134, 137, 509]",S3SA.tsv
i don't think,3,136,"[87, 135, 136, 382]",S3SA.tsv
coco pop,2,146,"[129, 146, 147]",S3SA.tsv
pop,1,414,"[129, 146, 414, 450, 452]",S3SA.tsv
good,1,153,"[63, 86, 122, 151, 153, 157, 159, 166, 169, 198, 312, 337, 359, 363, 371, 377, 385, 433, 441]",S3SA.tsv
be good,2,159,"[63, 159, 169, 337, 385]",S3SA.tsv
today,1,254,"[159, 254, 521]",S3SA.tsv
i'm,1,172,"[85, 87, 101, 102, 116, 123, 125, 172, 209, 220, 264, 287, 324, 393, 395, 494, 496, 522]",S3SA.tsv
what be,2,172,"[157, 172, 262, 371, 489]",S3SA.tsv
since,1,494,"[172, 494]",S3SA.tsv
