Expression Lexicon Size,file
318,SWHR.tsv
1191,SWSX.tsv
2865,SR4E.tsv
871,SK82.tsv
648,SFRW.tsv
700,SDQ8.tsv
854,SVLZ.tsv
388,SX4N.tsv
686,SV5R.tsv
270,SHKZ.tsv
683,SAAF.tsv
1448,SA88.tsv
776,S8NX.tsv
1451,S8LG.tsv
951,S49V.tsv
759,S4NB.tsv
1561,SQP2.tsv
857,SNQD.tsv
577,SE7R.tsv
428,SUJ8.tsv
533,SPC3.tsv
915,SEYD.tsv
1562,SGMT.tsv
1610,S73U.tsv
495,S2NQ.tsv
383,SPZR.tsv
1575,SJH6.tsv
344,S6AZ.tsv
1603,SQ36.tsv
464,SHHU.tsv
576,S69V.tsv
564,SVC7.tsv
418,SJRX.tsv
1112,SH2P.tsv
4159,S8LS.tsv
2531,S8X7.tsv
1590,S457.tsv
436,SJ2E.tsv
1249,STNE.tsv
1982,SPYH.tsv
266,SP5V.tsv
398,SN33.tsv
2803,S2ZU.tsv
620,SN2R.tsv
686,SP84.tsv
2205,S7KK.tsv
927,S527.tsv
898,SUH7.tsv
1687,SRL9.tsv
894,SNPP.tsv
823,S4CU.tsv
375,SXUQ.tsv
596,SVLK.tsv
1181,SV97.tsv
2251,SC67.tsv
498,SM8E.tsv
677,SZ8H.tsv
603,SM6Y.tsv
497,SZ6C.tsv
1686,SJ3S.tsv
2323,SR8V.tsv
214,SR87.tsv
1010,S26N.tsv
321,SEL5.tsv
1030,S2W4.tsv
1050,SE88.tsv
399,S24D.tsv
422,S46J.tsv
897,SC8H.tsv
1503,SM8P.tsv
1566,STB7.tsv
310,SVZE.tsv
1095,ST7J.tsv
507,SVLH.tsv
1868,S6AK.tsv
236,S69G.tsv
925,SAAB.tsv
1684,SQ3P.tsv
285,SVN7.tsv
143,SMNV.tsv
1450,S4L9.tsv
1583,ST82.tsv
312,SCNN.tsv
967,S24E.tsv
4537,S7GJ.tsv
663,SUWQ.tsv
346,S78E.tsv
343,SKEG.tsv
1219,SU8C.tsv
601,SKJH.tsv
575,SHZP.tsv
633,STKH.tsv
1328,SD65.tsv
700,S6PD.tsv
479,STQF.tsv
831,SHC3.tsv
764,SJW4.tsv
1150,S8K6.tsv
397,SQNA.tsv
345,SDAA.tsv
1133,SMKK.tsv
687,SHX8.tsv
1264,S8RU.tsv
2595,S3C6.tsv
4741,SJB4.tsv
1272,SQWC.tsv
838,S5MM.tsv
1099,SUNR.tsv
2437,SW6K.tsv
1352,S9B9.tsv
584,SES2.tsv
373,S5XL.tsv
97,SNBD.tsv
922,S5B6.tsv
1108,S555.tsv
1216,SRHV.tsv
1109,S59W.tsv
737,S839.tsv
1608,SDXW.tsv
2793,SVKH.tsv
537,SDAB.tsv
1595,SZJ7.tsv
1446,SXRR.tsv
653,SBCL.tsv
297,SUC7.tsv
537,S9CH.tsv
697,S75W.tsv
557,SP3F.tsv
1069,S2QU.tsv
247,S9UA.tsv
1008,SQVW.tsv
238,S3A9.tsv
279,S3CP.tsv
1227,S38P.tsv
751,SQ93.tsv
518,SZQ9.tsv
285,SZFG.tsv
1042,SASQ.tsv
1125,SWTX.tsv
487,SK3P.tsv
1046,SGGE.tsv
460,S74A.tsv
378,SYA7.tsv
336,SNZS.tsv
305,S7WR.tsv
408,S2JK.tsv
434,SR3P.tsv
1802,S37K.tsv
1154,SHXJ.tsv
857,SFXE.tsv
770,SDTD.tsv
1583,SCSF.tsv
1701,SVD6.tsv
911,SVD7.tsv
429,SMH4.tsv
2240,SLNB.tsv
569,SKDP.tsv
1470,SEJT.tsv
314,SK3S.tsv
662,S2PS.tsv
1225,S5U8.tsv
2202,S985.tsv
5092,S5XD.tsv
2525,SWWZ.tsv
921,SUAB.tsv
418,SYWB.tsv
725,SCG9.tsv
327,STDN.tsv
241,S4KE.tsv
699,SXGX.tsv
2848,SMRV.tsv
1252,SDZC.tsv
1014,SVDM.tsv
271,SQBK.tsv
368,SF7M.tsv
933,SDUM.tsv
1667,SXR9.tsv
2969,SVR6.tsv
834,STJD.tsv
206,SRGR.tsv
370,SGFN.tsv
2489,SN8K.tsv
1014,SNAC.tsv
1882,SN64.tsv
1105,S776.tsv
357,SWLS.tsv
548,SLT4.tsv
618,SYNT.tsv
3390,SP2Y.tsv
405,SBNC.tsv
2063,SNYG.tsv
421,SE2A.tsv
486,S3CK.tsv
249,S8Q3.tsv
363,SQU6.tsv
758,STG7.tsv
2937,STSS.tsv
1250,SCPR.tsv
307,SXH5.tsv
847,SFMJ.tsv
478,SX3B.tsv
741,SHBJ.tsv
322,SXQ6.tsv
2398,S8PW.tsv
596,SHX2.tsv
1047,SJ4X.tsv
640,S37E.tsv
296,SYTL.tsv
1201,S575.tsv
3327,SW6A.tsv
2759,SP2X.tsv
429,S79Y.tsv
560,S57G.tsv
2363,SL8N.tsv
2133,S7TT.tsv
481,S2JV.tsv
1157,SE3W.tsv
434,SXPW.tsv
247,SFC2.tsv
450,SH8K.tsv
1992,SF8D.tsv
199,SH6W.tsv
885,S6GC.tsv
607,SMF5.tsv
1230,SVRQ.tsv
473,SZ2V.tsv
1082,SU6F.tsv
934,SKKB.tsv
1134,S2PY.tsv
1503,SY4A.tsv
294,SBZW.tsv
408,S2RD.tsv
775,SEJK.tsv
728,SJA5.tsv
2199,SHTW.tsv
944,S4KW.tsv
413,S83A.tsv
963,SZP6.tsv
654,SADE.tsv
435,SKJ3.tsv
285,SBBP.tsv
254,S2GS.tsv
1930,SKRC.tsv
653,S78H.tsv
503,SKZX.tsv
630,SG7X.tsv
3248,S7SU.tsv
1605,S2LD.tsv
427,SUGV.tsv
183,SUDM.tsv
254,SJEM.tsv
1438,S6YA.tsv
637,SZ94.tsv
925,SZNA.tsv
180,SVAT.tsv
414,SF2C.tsv
1038,S8CW.tsv
368,S4T3.tsv
558,SCWW.tsv
1111,SXAZ.tsv
208,S49H.tsv
773,SDJL.tsv
536,S8W2.tsv
1645,SG78.tsv
310,S2TC.tsv
4076,SNJP.tsv
842,SGCA.tsv
1092,SG5Q.tsv
1540,SUQM.tsv
2263,SNG4.tsv
1127,SRU7.tsv
854,SBSJ.tsv
1160,S9F9.tsv
962,SYHW.tsv
1423,SKCY.tsv
1165,S7PM.tsv
1620,SR7C.tsv
1146,SK8N.tsv
1490,SJSC.tsv
1308,SAB7.tsv
2690,S8BQ.tsv
717,SQ2L.tsv
744,S6MQ.tsv
1442,S8CB.tsv
1225,SHGE.tsv
905,SCWC.tsv
3079,S3JF.tsv
278,SJKD.tsv
1415,SQPN.tsv
298,S7RD.tsv
1974,SP62.tsv
2466,S2T6.tsv
470,SKY7.tsv
181,SYFN.tsv
1241,SJG5.tsv
2215,SZNG.tsv
2844,SXCB.tsv
2431,SXNE.tsv
1937,SF3V.tsv
1206,SA6K.tsv
1249,SJSQ.tsv
679,S3SA.tsv
996,ST6R.tsv
2476,SDHB.tsv
716,S3GS.tsv
686,SKMV.tsv
1453,SB32.tsv
1183,S7RA.tsv
409,SKBN.tsv
520,SBKH.tsv
800,SRX4.tsv
2662,S7JG.tsv
199,SKY2.tsv
1182,SKYQ.tsv
376,S9D7.tsv
1261,SPTA.tsv
1085,S539.tsv
1436,SVUC.tsv
2650,SMME.tsv
1524,S66A.tsv
1284,SHJE.tsv
2520,SF2Q.tsv
528,S3SU.tsv
612,S84P.tsv
1009,S6A5.tsv
733,SXC6.tsv
3923,S64H.tsv
539,S6UQ.tsv
1947,SD2R.tsv
1147,SXWR.tsv
1162,SJDM.tsv
487,SQPH.tsv
1164,S7JS.tsv
884,SP9Z.tsv
