Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
morning,1,203,"[0, 203]",S7RD.tsv
that could be,3,3,"[2, 3]",S7RD.tsv
yes,1,9,"[2, 9, 63, 68, 74, 119, 175, 211, 213, 245]",S7RD.tsv
could,1,99,"[2, 3, 35, 53, 99, 101, 223]",S7RD.tsv
mother's day,2,11,"[4, 11, 13, 24, 46, 48]",S7RD.tsv
day,1,71,"[4, 71, 207]",S7RD.tsv
yeah,1,6,"[5, 6, 8, 14, 35, 37, 43, 49, 50, 53, 55, 64, 66, 71, 73, 78, 84, 85, 87, 93, 96, 103, 119, 143, 149, 156, 157, 164, 173, 206, 216, 224, 242]",S7RD.tsv
a logical explanation,3,7,"[6, 7]",S7RD.tsv
that's,1,46,"[6, 25, 46, 87, 123, 140, 144, 145, 149, 155, 159, 201]",S7RD.tsv
that's a,2,144,"[6, 144]",S7RD.tsv
milk in,2,13,"[10, 12, 13]",S7RD.tsv
get,1,68,"[10, 12, 15, 29, 64, 68, 71, 73, 85, 91, 124, 129, 144, 155, 204, 211, 214, 223, 227, 236]",S7RD.tsv
mother's,1,15,"[11, 13, 15, 24, 46, 48]",S7RD.tsv
present,1,17,"[15, 17, 18, 19]",S7RD.tsv
like,1,17,"[15, 17, 45, 49, 70, 73, 114, 126, 127, 128, 129, 154, 158, 160, 191, 192, 204, 218, 233]",S7RD.tsv
make,1,52,"[27, 29, 52, 68, 96, 101, 165]",S7RD.tsv
little,1,83,"[27, 29, 33, 83, 203, 204, 223]",S7RD.tsv
to put,2,29,"[13, 29]",S7RD.tsv
get some,2,68,"[29, 68, 214]",S7RD.tsv
top,1,33,"[29, 30, 33, 100]",S7RD.tsv
put,1,155,"[13, 29, 33, 112, 155, 236, 237]",S7RD.tsv
okay,1,50,"[31, 50, 60, 232]",S7RD.tsv
love,1,33,"[20, 33, 191]",S7RD.tsv
on the,2,100,"[33, 100]",S7RD.tsv
and then,2,52,"[35, 52, 67, 160, 178, 237]",S7RD.tsv
i be,2,63,"[35, 63, 76, 122, 127]",S7RD.tsv
film,1,76,"[35, 76]",S7RD.tsv
we could,2,99,"[35, 53, 99, 101]",S7RD.tsv
go for a walk,4,37,"[36, 37]",S7RD.tsv
and we,2,46,"[37, 46, 53]",S7RD.tsv
we can,2,50,"[37, 50]",S7RD.tsv
go,1,74,"[37, 47, 64, 74, 89, 143, 154, 184, 185, 203, 238, 240]",S7RD.tsv
for a,2,83,"[37, 83]",S7RD.tsv
mum,1,45,"[1, 45]",S7RD.tsv
i don't,2,45,"[18, 45, 63, 121, 207]",S7RD.tsv
er i,2,186,"[45, 186]",S7RD.tsv
need,1,47,"[13, 47, 62, 63, 65]",S7RD.tsv
to go,2,47,"[36, 47, 154, 203, 238, 240]",S7RD.tsv
we'll,1,68,"[47, 62, 68, 84]",S7RD.tsv
things,1,99,"[47, 49, 99, 127, 155, 211]",S7RD.tsv
shop,1,203,"[47, 203]",S7RD.tsv
need to,2,204,"[47, 62, 204]",S7RD.tsv
yeah but,2,49,"[5, 49, 64, 87]",S7RD.tsv
things for,2,99,"[49, 99]",S7RD.tsv
always,1,57,"[11, 57, 59]",S7RD.tsv
want to do,3,57,"[24, 46, 57, 58, 59]",S7RD.tsv
want to,2,57,"[44, 46, 57, 58, 59, 218]",S7RD.tsv
want,1,57,"[46, 57, 59, 218]",S7RD.tsv
do that,2,57,"[50, 57, 74]",S7RD.tsv
want to do that,4,58,"[57, 58]",S7RD.tsv
to do,2,135,"[57, 59, 135]",S7RD.tsv
do it,2,61,"[59, 61, 81, 82, 83, 84, 85, 88]",S7RD.tsv
think,1,62,"[18, 62, 71, 84, 114, 120, 163, 194, 199, 207, 226, 230]",S7RD.tsv
wash up,2,62,"[54, 62, 65, 68, 70]",S7RD.tsv
but i think,3,63,"[62, 63]",S7RD.tsv
wash up gloves,3,63,"[62, 63, 65, 68, 70, 71]",S7RD.tsv
i think,2,85,"[62, 63, 84, 85, 114, 120, 146, 152, 154, 159, 162, 163, 174, 186, 194, 199, 203, 206, 226, 230, 238]",S7RD.tsv
but i,2,100,"[62, 100]",S7RD.tsv
might,1,64,"[36, 64]",S7RD.tsv
the hot water,3,64,"[63, 64]",S7RD.tsv
water,1,64,"[63, 64, 191, 217, 218, 219]",S7RD.tsv
gloves,1,64,"[62, 63, 64, 68, 69, 70, 71]",S7RD.tsv
hot,1,88,"[64, 88, 92, 93, 104]",S7RD.tsv
inside,1,154,"[64, 154]",S7RD.tsv
children,1,71,"[70, 71]",S7RD.tsv
i'm,1,73,"[18, 46, 71, 73, 128, 129, 149]",S7RD.tsv
i'm gonna,2,73,"[46, 73]",S7RD.tsv
school,1,73,"[48, 73, 78, 108, 201, 207, 217]",S7RD.tsv
gonna,1,73,"[63, 73, 78, 87, 203, 217]",S7RD.tsv
yeah i,2,73,"[71, 73, 84, 156, 206]",S7RD.tsv
i will,2,95,"[73, 95]",S7RD.tsv
like when,2,127,"[73, 127, 154]",S7RD.tsv
we don't,2,82,"[46, 82, 203]",S7RD.tsv
year,1,82,"[81, 82, 83]",S7RD.tsv
do it in,3,83,"[82, 83, 84]",S7RD.tsv
two,1,85,"[82, 85, 154]",S7RD.tsv
in the,2,84,"[68, 84, 85, 154, 155, 178, 191]",S7RD.tsv
in the summer,3,85,"[84, 85]",S7RD.tsv
yeah i think,3,206,"[84, 206]",S7RD.tsv
cos,1,87,"[13, 63, 85, 87, 134, 155]",S7RD.tsv
be a,2,108,"[87, 108, 155]",S7RD.tsv
have to,2,203,"[87, 203, 238, 240]",S7RD.tsv
you have,2,89,"[81, 89]",S7RD.tsv
go to,2,238,"[89, 238, 240]",S7RD.tsv
can you,2,243,"[89, 243]",S7RD.tsv
please,1,243,"[89, 218, 243]",S7RD.tsv
really,1,91,"[18, 46, 91, 93, 104, 105, 115, 154, 203]",S7RD.tsv
really really really,3,91,"[46, 91]",S7RD.tsv
really really,2,91,"[46, 91, 93, 115]",S7RD.tsv
sometimes,1,91,"[66, 91]",S7RD.tsv
that sometimes,2,155,"[91, 155]",S7RD.tsv
hot if,2,93,"[88, 93]",S7RD.tsv
really hot,2,104,"[93, 104]",S7RD.tsv
you do,2,110,"[83, 110, 155, 219]",S7RD.tsv
what be,2,111,"[110, 111]",S7RD.tsv
be you,2,135,"[110, 135]",S7RD.tsv
and cheddar,2,113,"[112, 113]",S7RD.tsv
jam and cheddar,3,115,"[112, 115]",S7RD.tsv
oh i,2,114,"[76, 114, 230]",S7RD.tsv
it be,2,114,"[104, 114, 115, 119, 155, 174]",S7RD.tsv
jam,1,115,"[114, 115]",S7RD.tsv
i think it,3,146,"[114, 146, 163]",S7RD.tsv
good,1,129,"[16, 129, 167, 217]",S7RD.tsv
i've,1,129,"[18, 71, 129]",S7RD.tsv
a good,2,129,"[71, 129]",S7RD.tsv
get a,2,129,"[85, 129, 223]",S7RD.tsv
good idea,2,225,"[129, 225]",S7RD.tsv
if you,2,131,"[85, 131, 134, 136]",S7RD.tsv
try,1,131,"[115, 118, 121, 131, 135, 136, 137, 139, 142, 218]",S7RD.tsv
give,1,215,"[131, 134, 136, 215]",S7RD.tsv
you try,2,136,"[118, 135, 136]",S7RD.tsv
do not,2,142,"[136, 142, 160]",S7RD.tsv
rain cat and dog,4,151,"[149, 151, 163]",S7RD.tsv
it's rain,2,152,"[151, 152, 163, 164, 168, 170, 171]",S7RD.tsv
rain,1,154,"[149, 151, 152, 154, 155, 156, 163, 164, 168, 170, 171, 174]",S7RD.tsv
be there,2,153,"[76, 153]",S7RD.tsv
rain sausages and ice cream,5,174,"[168, 170, 174]",S7RD.tsv
frog,1,178,"[155, 156, 160, 162, 163, 164, 178, 180, 182, 184, 185, 186, 191, 192, 202, 239]",S7RD.tsv
mouth,1,178,"[174, 178, 185]",S7RD.tsv
a huge,2,179,"[178, 179, 180, 181, 182, 183]",S7RD.tsv
a huge frog hit you,5,185,"[178, 180, 185]",S7RD.tsv
a a,2,180,"[144, 180]",S7RD.tsv
your mouth,2,182,"[174, 182, 184]",S7RD.tsv
a huge frog hit you and,6,185,"[182, 185]",S7RD.tsv
a huge frog,3,185,"[182, 185]",S7RD.tsv
in your mouth,3,185,"[182, 185]",S7RD.tsv
in your,2,203,"[182, 184, 185, 203, 222, 232, 233]",S7RD.tsv
frog hit you and go in your mouth,8,185,"[184, 185]",S7RD.tsv
