Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
bubble,1,4,"[2, 3, 4, 5, 7, 24, 97, 101]",SUDM.tsv
wrap,1,8,"[2, 3, 7, 8, 9, 24, 97, 101]",SUDM.tsv
bubble wrap,2,7,"[2, 3, 7, 20, 24, 94, 97, 101]",SUDM.tsv
bob,1,7,"[6, 7, 9, 12, 13, 25, 28, 34, 39, 41, 44, 45, 46, 48, 53, 87, 93, 95]",SUDM.tsv
stop,1,11,"[1, 9, 11, 12, 15, 16, 63, 68, 110]",SUDM.tsv
fall,1,11,"[10, 11, 74]",SUDM.tsv
gonna fall,2,35,"[11, 35]",SUDM.tsv
gonna,1,76,"[11, 75, 76, 82, 201]",SUDM.tsv
come,1,13,"[9, 13, 24, 28, 194]",SUDM.tsv
shower,1,30,"[28, 29, 30]",SUDM.tsv
have a,2,183,"[30, 183, 217]",SUDM.tsv
get,1,41,"[18, 28, 29, 40, 41, 53, 73, 75, 76, 79, 80, 86, 87, 140, 157, 201, 208, 217]",SUDM.tsv
get off,2,41,"[40, 41, 140]",SUDM.tsv
really,1,110,"[56, 110]",SUDM.tsv
be you,2,56,"[39, 56, 181, 188]",SUDM.tsv
ow,1,69,"[65, 69, 78, 117, 138, 140]",SUDM.tsv
can you,2,73,"[40, 70, 73]",SUDM.tsv
you get,2,73,"[40, 73, 217]",SUDM.tsv
the crocodile's,2,76,"[75, 76]",SUDM.tsv
gonna get,2,76,"[75, 76]",SUDM.tsv
they're,1,111,"[77, 111]",SUDM.tsv
your ex,2,103,"[90, 103]",SUDM.tsv
your ex boyfriend,3,103,"[98, 103]",SUDM.tsv
you mean,2,107,"[98, 107]",SUDM.tsv
yeah,1,100,"[57, 65, 82, 100, 106, 109, 130, 151, 170, 180, 182, 195, 196, 197, 214]",SUDM.tsv
ex boyfriend,2,101,"[98, 100, 101, 103]",SUDM.tsv
mean,1,107,"[100, 107]",SUDM.tsv
i think,2,102,"[82, 102, 208, 210, 214]",SUDM.tsv
grandad,1,102,"[26, 102, 105]",SUDM.tsv
make,1,102,"[9, 102, 111, 120, 122]",SUDM.tsv
know,1,112,"[111, 112, 177, 204, 206, 208, 210, 212]",SUDM.tsv
kick,1,115,"[114, 115, 145]",SUDM.tsv
erm i,2,123,"[82, 123, 177, 210]",SUDM.tsv
i'm,1,123,"[91, 97, 123, 183, 190, 201, 208, 210]",SUDM.tsv
a bush,2,127,"[126, 127, 131]",SUDM.tsv
watch,1,136,"[70, 136]",SUDM.tsv
mm mm,2,200,"[137, 139, 200, 209, 211]",SUDM.tsv
register,1,150,"[149, 150]",SUDM.tsv
the register,2,160,"[149, 160]",SUDM.tsv
go to,2,161,"[22, 82, 91, 161, 169, 172, 210, 212, 214]",SUDM.tsv
assembly,1,176,"[161, 176]",SUDM.tsv
