Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
yeah,1,1,"[0, 2, 6, 10, 12, 14, 16, 22, 24, 30, 46, 62, 78, 84, 86, 88, 99, 101, 103, 105, 107, 109, 125, 133, 143, 147, 149, 153, 155, 157, 159, 167, 169, 171, 183, 185, 189, 191, 195, 199, 201, 207, 217, 227, 231, 238, 244, 250, 256, 260, 264, 266, 272, 277, 279, 293, 301, 307, 311, 313, 315, 325, 331, 345, 347, 349, 353, 355, 357, 359, 373, 377, 381, 395, 400, 408, 410, 412, 414, 416, 422, 424, 426, 432, 434, 436, 438, 450, 454, 456, 462, 464, 472, 476, 478, 480, 482, 486, 488, 504, 512, 516, 520, 528, 542, 544, 548, 550, 562, 566, 568, 570, 578, 580, 582, 586, 590, 592, 594, 602, 604, 606, 608, 610, 612, 614, 620, 626, 638, 646, 648, 650, 654, 660, 664, 666, 670, 672, 674, 682, 686, 688, 692, 696, 698, 712, 714, 716, 732, 734, 740, 742, 747, 749, 751, 756, 758, 760, 762, 764, 766, 772, 778, 802, 804, 824, 827, 829, 835, 837, 839, 841, 849]","[1, 5, 21, 23, 25, 27, 29, 35, 47, 51, 53, 55, 59, 63, 65, 67, 69, 77, 81, 83, 85, 87, 91, 114, 124, 128, 130, 134, 138, 140, 142, 146, 152, 154, 156, 160, 164, 166, 168, 172, 174, 176, 178, 186, 188, 190, 192, 196, 198, 210, 220, 222, 228, 265, 267, 292, 294, 302, 304, 306, 324, 340, 352, 358, 370, 382, 384, 389, 409, 431, 437, 439, 445, 447, 449, 451, 455, 459, 463, 471, 473, 475, 481, 489, 493, 503, 507, 517, 521, 529, 531, 533, 545, 547, 549, 551, 573, 575, 585, 589, 601, 615, 619, 623, 633, 637, 641, 643, 645, 665, 673, 675, 677, 679, 681, 691, 705, 707, 713, 727, 731, 737, 739, 741, 757, 771, 773, 775, 777, 785, 787, 789, 803, 813, 832, 834, 850, 108]",SEZ2.tsv,S0451,S0439
like,1,1,"[0, 16, 32, 44, 46, 52, 54, 58, 62, 64, 66, 70, 82, 88, 109, 111, 113, 115, 121, 125, 129, 135, 137, 139, 141, 151, 153, 155, 159, 161, 163, 173, 177, 185, 195, 197, 199, 209, 215, 227, 236, 256, 258, 268, 275, 277, 281, 289, 293, 303, 305, 307, 323, 325, 331, 337, 339, 357, 359, 373, 377, 379, 381, 383, 388, 393, 397, 402, 404, 416, 418, 420, 422, 426, 428, 430, 438, 442, 444, 446, 448, 450, 460, 461, 466, 468, 470, 474, 480, 482, 516, 520, 530, 532, 534, 572, 582, 590, 596, 602, 610, 616, 618, 624, 634, 636, 644, 648, 672, 676, 680, 686, 690, 698, 704, 710, 712, 716, 726, 730, 734, 736, 740, 743, 747, 758, 768, 772, 782, 784, 796, 810, 812, 814, 816, 820, 824, 829, 839, 843]","[1, 7, 13, 19, 21, 23, 27, 29, 33, 35, 37, 41, 51, 71, 75, 77, 87, 89, 91, 93, 95, 98, 100, 102, 104, 108, 112, 130, 142, 144, 146, 154, 158, 166, 168, 172, 174, 180, 182, 184, 186, 188, 190, 192, 198, 214, 216, 218, 226, 228, 241, 243, 245, 259, 261, 265, 267, 269, 273, 282, 296, 310, 312, 314, 316, 320, 336, 348, 350, 352, 356, 358, 360, 372, 463, 467, 469, 477, 483, 485, 525, 527, 537, 543, 547, 551, 555, 557, 561, 567, 571, 573, 577, 579, 581, 589, 591, 595, 597, 603, 607, 609, 613, 637, 639, 641, 643, 645, 647, 649, 651, 653, 657, 659, 661, 663, 681, 685, 687, 689, 695, 701, 719, 723, 731, 733, 748, 750, 752, 753, 761, 763, 765, 771, 773, 801, 805, 815, 817, 828, 832, 838, 842, 170]",SEZ2.tsv,S0451,S0439
forty pound,2,7,"[0, 107]","[7, 98]",SEZ2.tsv,S0451,S0439
i'm,1,9,"[0, 2, 62, 64, 80, 84, 121, 129, 139, 149, 153, 185, 229, 236, 238, 258, 277, 345, 349, 365, 408, 422, 426, 428, 450, 496, 510, 512, 522, 530, 646, 680, 698, 712, 716, 720, 747, 788, 800, 837, 845, 847]","[9, 19, 21, 35, 87, 95, 98, 170, 174, 210, 216, 228, 232, 259, 261, 350, 352, 479, 497, 537, 543, 549, 553, 701, 733, 748, 750, 817]",SEZ2.tsv,S0451,S0439
i think,2,13,"[0, 18, 26, 96, 107, 109, 153, 187, 426, 436, 496, 528, 584, 600, 614, 624, 704, 716, 743, 756]","[13, 19, 29, 35, 49, 51, 100, 108, 154, 237, 265, 310, 573, 585, 661, 842, 567]",SEZ2.tsv,S0451,S0439
think,1,13,"[0, 16, 18, 26, 82, 84, 96, 107, 109, 153, 159, 163, 187, 301, 355, 393, 426, 436, 496, 528, 584, 600, 614, 624, 704, 716, 743, 756, 774, 824, 831]","[13, 19, 29, 35, 49, 51, 87, 100, 108, 124, 154, 162, 190, 237, 265, 310, 372, 567, 573, 585, 593, 601, 649, 661, 828, 838, 842]",SEZ2.tsv,S0451,S0439
no i,2,29,"[0, 28, 175, 187, 201, 325, 373, 426, 696]","[29, 33, 282, 324, 647, 763, 567]",SEZ2.tsv,S0451,S0439
forty,1,93,"[0, 97, 107]",[93],SEZ2.tsv,S0451,S0439
yeah no,2,108,"[0, 103, 149, 325, 359, 373, 568, 734, 747]",[108],SEZ2.tsv,S0451,S0439
like i'm,2,170,"[0, 121, 236]",[170],SEZ2.tsv,S0451,S0439
