Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
right,1,51,"[0, 112, 544, 571]","[51, 803]",SCUS.tsv,S0618,S0619
say,1,88,"[0, 102, 105, 248, 414, 425, 448, 450, 488, 565, 647, 649, 669, 841, 941, 944]","[88, 196, 370, 483, 501, 507]",SCUS.tsv,S0618,S0619
hello,1,578,"[0, 579]",[578],SCUS.tsv,S0618,S0619
go,1,3,"[2, 6, 54, 67, 102, 110, 216, 319, 559, 759, 813, 827, 835, 852]","[3, 31, 41, 51, 66, 134, 187, 198, 455, 570, 576, 851, 875, 918, 696]",SCUS.tsv,S0618,S0619
know,1,15,"[2, 83, 89, 102, 105, 119, 195, 207, 219, 248, 278, 284, 319, 356, 412, 425, 436, 478, 486, 512, 524, 540, 594, 600, 645, 656, 664, 665, 673, 757, 783, 787, 819, 821, 835, 839, 864, 882, 937, 939, 963]","[15, 37, 51, 118, 132, 136, 193, 215, 301, 307, 346, 348, 390, 402, 483, 487, 527, 529, 533, 603, 626, 702, 736, 742, 776, 778, 799, 801, 807, 853, 859, 879, 916, 171, 206, 225, 400, 491, 832, 936]",SCUS.tsv,S0618,S0619
a lot of,3,70,"[2, 108, 522, 761, 765, 767]","[70, 626, 724, 748, 776, 873, 875]",SCUS.tsv,S0618,S0619
at the,2,73,"[2, 46, 514, 664, 667, 904]","[73, 138, 229, 529, 628, 710, 903]",SCUS.tsv,S0618,S0619
okay,1,128,"[2, 536, 550, 600, 659, 991]","[128, 257, 275, 451, 493, 499, 505, 605, 609, 611, 615, 694, 810, 986, 992]",SCUS.tsv,S0618,S0619
a lot,2,150,"[2, 108, 212, 262, 522, 761, 765, 767]","[150, 696, 626, 724, 748, 776, 873, 875]",SCUS.tsv,S0618,S0619
i know,2,171,"[2, 83, 89, 119, 436, 524, 645, 839, 939]","[171, 206, 225, 400, 491, 527, 626, 832, 936]",SCUS.tsv,S0618,S0619
there's,1,209,"[2, 284, 356, 659, 664, 757, 767, 783, 887]","[209, 346, 603, 621, 684, 686, 696, 734, 877, 903]",SCUS.tsv,S0618,S0619
lot of,2,299,"[2, 108, 230, 522, 625, 761, 765, 767]","[299, 386, 621, 626, 724, 748, 776, 873, 875]",SCUS.tsv,S0618,S0619
quite,1,501,"[2, 248, 323, 415, 665, 671, 767, 827, 880, 935]","[501, 632, 744]",SCUS.tsv,S0618,S0619
go on,2,696,"[2, 759]",[696],SCUS.tsv,S0618,S0619
a lot of that,4,875,[2],[875],SCUS.tsv,S0618,S0619
look at,2,4,"[4, 46]","[1, 5, 73, 138, 710]",SCUS.tsv,S0618,S0619
look,1,4,"[4, 27, 46, 93, 486, 561, 602]","[1, 5, 72, 73, 75, 138, 189, 191, 374, 386, 454, 566, 595, 710, 750, 900]",SCUS.tsv,S0618,S0619
i'm,1,4,"[4, 6, 27, 54, 91, 127, 195, 268, 290, 319, 333, 343, 362, 425, 427, 470, 476, 484, 488, 490, 504, 642, 691, 864, 906]","[1, 51, 59, 171, 527, 570, 634, 712, 801, 832, 859, 900, 918, 924]",SCUS.tsv,S0618,S0619
i can,2,196,"[4, 329, 341, 480, 664, 757, 765, 783, 787, 809, 870, 977]","[196, 916]",SCUS.tsv,S0618,S0619
do that,2,398,"[4, 248, 356, 761]",[398],SCUS.tsv,S0618,S0619
sure,1,479,"[4, 67, 195, 470, 691]","[479, 481]",SCUS.tsv,S0618,S0619
but i don't,3,9,[6],[9],SCUS.tsv,S0618,S0619
really,1,17,"[6, 30, 123, 203, 212, 268, 343, 445, 476, 582, 602, 631, 667, 759, 819, 854, 858, 864, 870, 935, 944, 974]","[17, 47, 49, 90, 132, 134, 176, 187, 198, 215, 259, 372, 535, 539, 626, 634, 776, 851, 916, 924, 930]",SCUS.tsv,S0618,S0619
i don't,2,28,"[6, 67, 282, 319, 421, 486, 594, 783, 963]","[28, 51, 168, 301, 307, 390, 473, 487, 525, 533, 603, 626, 742, 776, 799, 801, 807, 820, 855, 920]",SCUS.tsv,S0618,S0619
cos,1,43,"[6, 98, 137, 248, 356, 436, 448, 470, 488, 498, 522, 638, 671, 864, 886, 904, 941, 975]","[43, 88, 200, 570, 825, 901, 916, 955]",SCUS.tsv,S0618,S0619
yes,1,45,"[6, 83, 183, 450, 590, 691]","[45, 464, 568, 589, 621]",SCUS.tsv,S0618,S0619
juice number,2,53,[6],"[53, 60]",SCUS.tsv,S0618,S0619
number,1,53,[6],[53],SCUS.tsv,S0618,S0619
but i,2,134,"[6, 276, 667, 669, 895, 909, 935, 944]","[134, 174, 511]",SCUS.tsv,S0618,S0619
i really,2,134,"[6, 212, 819, 864, 935, 944]","[134, 198, 259]",SCUS.tsv,S0618,S0619
which be,2,150,"[6, 262, 268, 327, 414, 972]","[150, 152, 255, 543, 812, 948]",SCUS.tsv,S0618,S0619
care,1,168,[6],"[168, 473]",SCUS.tsv,S0618,S0619
the big,2,182,"[6, 216, 971]","[182, 211]",SCUS.tsv,S0618,S0619
big,1,215,"[6, 54, 216, 323, 379, 476, 522, 573, 831, 897, 971]","[215, 243, 253, 348, 960, 964]",SCUS.tsv,S0618,S0619
water,1,237,"[6, 230, 246, 248, 262, 268, 270, 276, 278, 317, 321, 333, 335, 343]","[237, 241, 249, 251, 259]",SCUS.tsv,S0618,S0619
four,1,241,"[6, 450, 837]","[241, 728]",SCUS.tsv,S0618,S0619
three,1,241,"[6, 57, 831]","[241, 585, 728]",SCUS.tsv,S0618,S0619
for the,2,464,"[6, 452, 559, 664, 813]","[464, 736, 825]",SCUS.tsv,S0618,S0619
i'm go,2,570,"[6, 54]",[570],SCUS.tsv,S0618,S0619
pay,1,720,"[6, 452, 631, 749]","[720, 750, 816]",SCUS.tsv,S0618,S0619
cos i,2,955,"[6, 248, 436, 638, 671, 864, 904]",[955],SCUS.tsv,S0618,S0619
always,1,676,"[8, 91, 356, 362, 421, 671]",[676],SCUS.tsv,S0618,S0619
fish,1,10,"[10, 40]","[7, 11]",SCUS.tsv,S0618,S0619
quality,1,19,"[10, 631, 636, 821]",[19],SCUS.tsv,S0618,S0619
of the,2,49,"[10, 117, 127, 282, 364, 425, 450, 620, 946]","[49, 235, 346, 388, 782, 873]",SCUS.tsv,S0618,S0619
get,1,132,"[10, 38, 40, 67, 100, 105, 179, 203, 220, 268, 272, 282, 288, 310, 321, 333, 360, 436, 450, 472, 484, 490, 496, 506, 522, 638, 645, 664, 749, 773, 800, 837, 880, 941, 944, 946, 963]","[132, 134, 162, 169, 215, 217, 396, 438, 545, 547, 698, 720, 803, 825, 832, 900, 930, 932, 426, 447, 453, 605, 607, 613, 712]",SCUS.tsv,S0618,S0619
