Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
i don't know,3,23,"[0, 124, 174, 208, 254, 276, 329, 345, 355, 367, 409, 418, 434, 462, 481, 624, 626, 642, 668, 752, 760, 764, 768, 790, 964, 998, 1010, 1018, 1263, 1312, 1315, 1386, 1399, 1684, 1772, 1782, 1784, 1822, 1867, 1986]","[23, 39, 99, 195, 600, 663, 665, 687, 887, 891, 899, 905, 1118, 1132, 1333, 1356, 1478, 1524, 1675, 1699]",SAVW.tsv,S0421,S0423
know,1,57,"[0, 46, 124, 136, 174, 206, 208, 223, 254, 276, 294, 329, 341, 345, 347, 355, 367, 369, 373, 395, 409, 416, 418, 426, 428, 430, 434, 462, 481, 495, 511, 540, 553, 567, 624, 626, 642, 648, 650, 664, 668, 752, 760, 764, 768, 790, 832, 836, 838, 935, 936, 964, 998, 1010, 1018, 1187, 1195, 1261, 1263, 1289, 1291, 1312, 1315, 1317, 1319, 1347, 1365, 1369, 1386, 1390, 1399, 1407, 1419, 1543, 1637, 1682, 1684, 1688, 1702, 1704, 1748, 1772, 1782, 1784, 1816, 1822, 1867, 1877, 1889, 1907, 1915, 1917, 1942, 1972, 1978, 1980, 1986, 2014]","[57, 59, 97, 123, 138, 142, 144, 146, 148, 160, 166, 177, 179, 191, 199, 224, 285, 287, 456, 568, 572, 607, 631, 633, 721, 725, 727, 743, 749, 781, 846, 887, 909, 918, 957, 975, 1004, 1056, 1124, 1126, 1134, 1136, 1144, 1146, 1158, 1246, 1282, 1381, 1396, 1416, 1495, 1508, 1512, 1514, 1536, 1675, 1971, 99, 195, 600, 663, 665, 687, 891, 899, 905, 1118, 1132, 1333, 1478, 1524, 1699, 1356]",SAVW.tsv,S0421,S0423
i don't,2,73,"[0, 122, 124, 167, 174, 184, 190, 208, 254, 276, 294, 302, 315, 329, 331, 339, 345, 347, 355, 367, 409, 418, 420, 434, 462, 466, 481, 519, 567, 622, 624, 626, 642, 668, 752, 760, 764, 768, 790, 848, 852, 942, 964, 966, 968, 998, 1010, 1018, 1042, 1091, 1263, 1287, 1292, 1312, 1315, 1384, 1386, 1390, 1399, 1419, 1668, 1680, 1682, 1684, 1738, 1740, 1744, 1756, 1768, 1772, 1778, 1782, 1784, 1822, 1845, 1867, 1871, 1903, 1905, 1926, 1930, 1940, 1984, 1986, 2002, 2022]","[73, 205, 237, 251, 255, 607, 617, 665, 986, 997, 1174, 1202, 1356, 1414, 1416, 1488, 1870, 99, 195, 600, 663, 687, 887, 891, 899, 905, 1118, 1132, 1333, 1478, 1524, 1675, 1699]",SAVW.tsv,S0421,S0423
don't know,2,1246,"[0, 124, 174, 208, 254, 276, 329, 345, 355, 367, 409, 418, 434, 462, 481, 624, 626, 642, 664, 668, 752, 760, 764, 768, 790, 964, 998, 1010, 1018, 1263, 1312, 1315, 1319, 1386, 1399, 1684, 1688, 1772, 1782, 1784, 1822, 1867, 1986]","[1246, 1333, 1356, 1478, 1524, 1675, 1699]",SAVW.tsv,S0421,S0423
time,1,2,"[2, 20, 26, 52, 70, 120, 304, 323, 409, 1135, 1163, 1450, 1631, 1716, 1944, 1948]","[1, 47, 81, 85, 265, 267, 382, 496, 954, 1136, 1140, 1142, 1148, 1156, 1164, 1170, 1307, 1309, 1431, 1441, 1461, 1470, 1634, 1733, 1021, 1282]",SAVW.tsv,S0421,S0423
i think,2,3,"[2, 32, 202, 214, 280, 282, 304, 327, 369, 413, 523, 533, 547, 620, 626, 706, 714, 752, 756, 760, 766, 782, 816, 890, 892, 964, 998, 1007, 1022, 1040, 1046, 1051, 1069, 1071, 1077, 1087, 1193, 1229, 1237, 1296, 1327, 1330, 1337, 1394, 1413, 1627, 1631, 1654, 1666, 1668, 1676, 1678, 1688, 1694, 1704, 1718, 1889, 1942, 1980, 2002, 2008]","[3, 79, 169, 183, 239, 277, 360, 412, 460, 496, 505, 522, 539, 568, 584, 623, 677, 699, 713, 745, 781, 795, 907, 911, 916, 918, 925, 927, 931, 954, 982, 1004, 1011, 1045, 1056, 1058, 1060, 1086, 1092, 1100, 1104, 1116, 1156, 1256, 1286, 1431, 1441, 1447, 1449, 1461, 1470, 1526, 1589, 1634, 1675, 1697, 1707, 1737, 1757, 1781, 1852, 1890, 1971, 47, 683, 893, 952, 1009, 1164, 1206, 1234, 1400]",SAVW.tsv,S0421,S0423
yeah,1,9,"[2, 4, 16, 26, 30, 32, 34, 40, 54, 56, 58, 60, 62, 74, 82, 84, 86, 88, 102, 104, 106, 108, 110, 114, 132, 134, 141, 145, 147, 149, 151, 153, 161, 163, 165, 178, 180, 182, 184, 186, 200, 208, 210, 216, 218, 225, 226, 230, 232, 234, 238, 240, 242, 244, 260, 264, 270, 272, 284, 286, 288, 290, 296, 298, 319, 331, 333, 347, 365, 369, 373, 375, 377, 381, 383, 387, 389, 395, 397, 399, 401, 407, 411, 413, 420, 428, 438, 451, 468, 474, 489, 515, 519, 527, 536, 547, 551, 555, 563, 565, 569, 571, 573, 577, 583, 585, 589, 599, 608, 610, 614, 624, 636, 638, 644, 656, 658, 666, 668, 678, 680, 684, 692, 694, 700, 708, 712, 716, 718, 722, 726, 728, 730, 734, 736, 738, 740, 742, 744, 750, 752, 756, 762, 764, 768, 774, 776, 778, 780, 786, 788, 792, 798, 800, 802, 816, 822, 824, 845, 870, 872, 874, 884, 888, 890, 894, 900, 902, 904, 908, 910, 912, 917, 919, 921, 923, 926, 928, 932, 949, 953, 956, 960, 970, 976, 979, 987, 1003, 1016, 1020, 1022, 1030, 1038, 1040, 1046, 1048, 1055, 1057, 1063, 1075, 1083, 1087, 1093, 1095, 1097, 1099, 1103, 1115, 1123, 1125, 1129, 1131, 1137, 1139, 1141, 1145, 1147, 1151, 1155, 1157, 1159, 1161, 1167, 1169, 1171, 1175, 1177, 1179, 1187, 1193, 1199, 1201, 1203, 1207, 1217, 1221, 1223, 1229, 1249, 1265, 1273, 1277, 1279, 1300, 1306, 1308, 1312, 1313, 1321, 1325, 1329, 1335, 1343, 1345, 1359, 1372, 1374, 1376, 1382, 1388, 1397, 1407, 1411, 1415, 1417, 1425, 1428, 1430, 1432, 1444, 1448, 1450, 1456, 1458, 1460, 1464, 1466, 1471, 1473, 1475, 1477, 1479, 1483, 1489, 1492, 1494, 1496, 1499, 1503, 1505, 1507, 1509, 1513, 1521, 1537, 1539, 1543, 1547, 1573, 1575, 1580, 1582, 1584, 1586, 1588, 1590, 1596, 1615, 1617, 1619, 1623, 1625, 1629, 1633, 1650, 1666, 1674, 1680, 1682, 1692, 1696, 1710, 1714, 1716, 1728, 1730, 1732, 1758, 1778, 1780, 1812, 1816, 1820, 1824, 1826, 1828, 1830, 1845, 1847, 1851, 1859, 1861, 1879, 1881, 1887, 1891, 1893, 1897, 1899, 1901, 1913, 1928, 1932, 1934, 1946, 1962, 1970, 1978, 1988, 2004, 2010, 2020, 2024, 2026, 2028, 2030, 2034]","[9, 13, 19, 65, 71, 87, 91, 95, 99, 101, 111, 137, 160, 193, 207, 209, 219, 229, 231, 249, 273, 277, 283, 295, 301, 305, 307, 322, 324, 328, 330, 338, 342, 354, 358, 386, 402, 433, 437, 441, 471, 473, 501, 502, 548, 550, 558, 576, 582, 603, 605, 613, 631, 643, 647, 653, 665, 669, 675, 693, 697, 703, 719, 721, 739, 767, 783, 785, 803, 813, 819, 823, 833, 835, 839, 842, 887, 895, 897, 907, 916, 934, 937, 943, 971, 975, 991, 999, 1001, 1041, 1052, 1062, 1086, 1094, 1100, 1106, 1108, 1120, 1136, 1148, 1150, 1154, 1202, 1208, 1214, 1218, 1220, 1230, 1242, 1280, 1320, 1326, 1331, 1336, 1352, 1364, 1370, 1393, 1400, 1404, 1410, 1420, 1422, 1424, 1427, 1435, 1437, 1441, 1451, 1457, 1484, 1486, 1526, 1530, 1534, 1536, 1550, 1552, 1554, 1562, 1564, 1611, 1622, 1655, 1661, 1679, 1685, 1687, 1689, 1709, 1717, 1736, 1773, 1797, 1799, 1836, 1878, 1918, 1920, 1924, 1929, 1931, 1937, 1941, 1943, 1949, 1951, 1965, 1975, 1977, 1981, 1989, 1993, 1997, 47, 93, 117, 140, 222, 237, 285, 663, 683, 864, 893, 952, 1009, 1104, 1134, 1164, 1206, 1234, 1463, 1959]",SAVW.tsv,S0421,S0423
bottle,1,13,[2],"[13, 925]",SAVW.tsv,S0421,S0423
yeah i think,3,47,"[2, 413, 752, 756, 1229]","[47, 683, 893, 952, 1009, 1104, 1164, 1206, 1234, 1400]",SAVW.tsv,S0421,S0423
they don't,2,87,"[2, 159, 327, 341, 664, 672, 752, 1557, 1784, 1998]","[87, 183, 655, 659, 739, 751]",SAVW.tsv,S0421,S0423
yeah i,2,93,"[2, 30, 40, 114, 331, 347, 407, 413, 519, 668, 752, 756, 956, 1229, 1277, 1407, 1575, 1680, 1778, 1845, 1988, 2004]","[93, 117, 140, 222, 237, 285, 663, 864, 975, 1134, 1463, 1959, 683, 893, 952, 1009, 1104, 1164, 1206, 1234, 1400]",SAVW.tsv,S0421,S0423
buy,1,142,"[2, 30, 36, 206, 208, 223, 230, 270, 416, 430, 440, 444, 449, 453, 457, 478, 483, 485, 489, 497, 557, 559, 968, 1040, 1049, 1055, 1183, 1485, 1529, 1607, 1610, 1818]","[142, 152, 514, 550, 967, 1011, 1110, 1124, 1441, 1510, 1526, 287, 1033, 1200, 1490, 1609]",SAVW.tsv,S0421,S0423
think,1,205,"[2, 32, 36, 72, 120, 122, 136, 202, 214, 280, 282, 304, 315, 327, 339, 345, 369, 413, 420, 491, 493, 519, 523, 533, 540, 547, 620, 622, 626, 674, 706, 714, 752, 756, 760, 766, 782, 816, 852, 890, 892, 942, 964, 998, 1007, 1022, 1040, 1046, 1051, 1069, 1071, 1077, 1081, 1087, 1091, 1119, 1121, 1171, 1173, 1193, 1229, 1237, 1292, 1296, 1321, 1327, 1330, 1337, 1365, 1384, 1390, 1392, 1394, 1403, 1413, 1561, 1565, 1615, 1627, 1631, 1654, 1666, 1668, 1676, 1678, 1682, 1684, 1688, 1694, 1704, 1718, 1740, 1744, 1784, 1845, 1889, 1905, 1915, 1919, 1926, 1930, 1936, 1942, 1980, 2002, 2008, 2018, 2020]","[205, 251, 502, 550, 582, 590, 655, 763, 847, 986, 997, 1174, 1246, 1260, 1305, 1322, 1333, 1334, 1356, 1387, 1406, 1414, 1488, 1589, 1622, 1624, 1705, 1831, 1870, 1878, 1902, 1979, 1989, 239, 277, 360, 412, 460, 496, 505, 522, 539, 568, 584, 623, 677, 683, 699, 713, 745, 781, 795, 893, 907, 911, 916, 918, 925, 927, 931, 952, 954, 982, 1004, 1009, 1011, 1045, 1056, 1058, 1060, 1086, 1092, 1100, 1104, 1116, 1156, 1164, 1206, 1234, 1256, 1286, 1400, 1431, 1441, 1461, 1470, 1526, 1634, 1675, 1697, 1707, 1737, 1757, 1781, 1852, 1890, 1971, 1447, 1449]",SAVW.tsv,S0421,S0423
in your,2,263,"[2, 278, 1243]","[263, 539, 749, 1084, 1156, 1829]",SAVW.tsv,S0421,S0423
buy a,2,287,"[2, 968, 1485]","[287, 1490, 1609]",SAVW.tsv,S0421,S0423
every,1,307,"[2, 938]",[307],SAVW.tsv,S0421,S0423
time you,2,1021,[2],"[1021, 1282]",SAVW.tsv,S0421,S0423
you buy,2,1033,[2],"[1033, 1200]",SAVW.tsv,S0421,S0423
get,1,4,"[4, 24, 208, 212, 220, 236, 242, 274, 280, 300, 309, 341, 353, 355, 363, 369, 403, 464, 513, 557, 620, 626, 650, 652, 686, 704, 758, 816, 818, 855, 936, 938, 972, 974, 1038, 1040, 1046, 1048, 1049, 1051, 1055, 1057, 1067, 1077, 1089, 1099, 1117, 1153, 1179, 1193, 1195, 1203, 1209, 1217, 1225, 1384, 1417, 1434, 1436, 1610, 1631, 1694, 1708, 1744, 1782, 1796, 1798, 1806, 1808, 1843, 1934, 2020]","[1, 19, 47, 77, 119, 144, 154, 160, 166, 197, 222, 237, 251, 259, 285, 402, 410, 429, 431, 448, 452, 568, 603, 617, 685, 691, 739, 741, 745, 817, 864, 875, 918, 922, 947, 954, 977, 986, 997, 1002, 1009, 1021, 1023, 1056, 1060, 1070, 1072, 1084, 1100, 1136, 1144, 1158, 1202, 1224, 1461, 1463, 1474, 1495, 1578, 1606, 1715, 1743, 1777, 1852, 137, 171, 207, 239, 1236, 1834]",SAVW.tsv,S0421,S0423
yes,1,4,"[4, 76, 1782, 1796, 1837]","[3, 715]",SAVW.tsv,S0421,S0423
like,1,11,"[4, 22, 30, 40, 42, 44, 56, 66, 68, 70, 90, 92, 98, 100, 116, 120, 124, 126, 136, 157, 167, 170, 194, 208, 212, 220, 221, 256, 262, 270, 276, 278, 280, 292, 294, 296, 298, 302, 304, 309, 319, 321, 325, 329, 331, 335, 337, 341, 345, 347, 349, 353, 355, 357, 359, 363, 367, 369, 371, 414, 416, 420, 424, 426, 430, 434, 436, 440, 442, 444, 447, 449, 453, 459, 462, 464, 465, 466, 468, 476, 478, 481, 483, 487, 489, 491, 495, 513, 542, 549, 551, 553, 555, 557, 559, 561, 563, 565, 587, 604, 606, 624, 626, 628, 632, 640, 646, 652, 662, 680, 686, 690, 696, 698, 702, 704, 706, 710, 720, 730, 734, 752, 754, 760, 766, 782, 784, 804, 826, 828, 832, 834, 836, 838, 840, 843, 848, 852, 854, 855, 878, 894, 933, 935, 946, 964, 968, 972, 996, 998, 1000, 1022, 1026, 1028, 1040, 1055, 1065, 1075, 1087, 1089, 1099, 1107, 1117, 1153, 1163, 1171, 1179, 1181, 1185, 1195, 1201, 1209, 1213, 1217, 1219, 1225, 1229, 1231, 1261, 1263, 1269, 1271, 1292, 1296, 1298, 1304, 1310, 1312, 1337, 1347, 1359, 1361, 1365, 1378, 1384, 1386, 1390, 1394, 1399, 1403, 1417, 1421, 1426, 1428, 1434, 1436, 1450, 1483, 1505, 1545, 1551, 1557, 1563, 1565, 1573, 1575, 1584, 1592, 1594, 1596, 1600, 1602, 1610, 1615, 1627, 1637, 1639, 1658, 1660, 1676, 1682, 1684, 1686, 1702, 1704, 1710, 1716, 1728, 1738, 1748, 1752, 1756, 1758, 1760, 1766, 1768, 1770, 1772, 1774, 1778, 1782, 1784, 1786, 1790, 1796, 1800, 1802, 1812, 1818, 1820, 1822, 1832, 1845, 1847, 1877, 1881, 1889, 1907, 1915, 1917, 1921, 1923, 1925, 1926, 1928, 1930, 1934, 1936, 1938, 1942, 1948, 1956, 1966, 1968, 1972, 1976, 1978, 1980, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2002, 2012, 2016, 2018, 2020, 2022]","[11, 13, 63, 65, 77, 81, 85, 99, 113, 127, 129, 148, 181, 183, 209, 211, 222, 227, 231, 241, 243, 257, 285, 287, 289, 291, 334, 360, 364, 366, 374, 384, 400, 412, 467, 554, 570, 572, 576, 598, 701, 717, 729, 751, 773, 785, 791, 797, 823, 916, 920, 1013, 1052, 1060, 1102, 1104, 1106, 1114, 1134, 1178, 1262, 1360, 1370, 1463, 1491, 1512, 1548, 1583, 1703, 1719, 1739, 1749, 1751, 1755, 1761, 1765, 1781, 1787, 1789, 1817, 1870, 1876, 1882, 1884, 1892, 1894, 1922, 1977, 1979, 1989]",SAVW.tsv,S0421,S0423
one,1,19,"[4, 56, 136, 157, 186, 208, 216, 292, 347, 355, 367, 389, 428, 449, 479, 489, 540, 557, 559, 670, 738, 822, 852, 1038, 1063, 1065, 1069, 1077, 1079, 1089, 1217, 1225, 1277, 1279, 1310, 1571, 1610, 1627, 1694, 1744, 1750, 1818, 1843, 1855, 1940, 1942, 2002]","[19, 73, 144, 152, 197, 239, 346, 386, 482, 505, 520, 550, 590, 597, 655, 787, 947, 948, 977, 982, 986, 995, 1011, 1017, 1090, 1092, 1100, 1224, 1266, 1463, 1488, 1491, 1638, 1640, 1737, 1931]",SAVW.tsv,S0421,S0423
cos,1,59,"[4, 70, 136, 184, 196, 206, 208, 216, 280, 292, 294, 327, 329, 337, 343, 347, 353, 369, 389, 434, 462, 466, 483, 489, 495, 559, 606, 628, 650, 734, 784, 820, 852, 855, 936, 940, 968, 974, 1030, 1032, 1040, 1042, 1051, 1055, 1065, 1069, 1079, 1081, 1089, 1099, 1105, 1143, 1149, 1153, 1217, 1304, 1337, 1365, 1417, 1421, 1434, 1483, 1485, 1505, 1535, 1584, 1680, 1748, 1774, 1812, 1818, 1822, 1889, 1948, 1954, 1990, 1994, 2002, 2024]","[59, 63, 103, 105, 107, 154, 169, 171, 183, 191, 239, 410, 570, 578, 584, 665, 675, 683, 733, 763, 777, 839, 853, 887, 899, 909, 959, 1021, 1136, 1152, 1160, 1166, 1396, 1429, 1431, 1433, 1439, 1461, 1474, 1488, 1508, 1538, 1589, 1608, 1636, 1663, 1671, 1787, 1815, 1817, 1827, 1858, 1880, 1933, 1969, 2025, 1202, 1424]",SAVW.tsv,S0421,S0423
always,1,59,"[4, 96, 114, 120, 190, 196, 262, 329, 414, 483, 485, 489, 513, 702, 840, 852, 1032, 1044, 1051, 1099, 1294, 1296, 1485, 1567, 1682, 1684, 1694, 1770, 1806, 1812]","[59, 81, 93, 111, 842, 887, 1136, 1463, 1560, 1715, 171]",SAVW.tsv,S0421,S0423
get a,2,137,"[4, 557, 1038, 1040, 1051, 1099, 1217, 1225, 1610]","[137, 207, 239, 1236, 1834]",SAVW.tsv,S0421,S0423
always get,2,171,"[4, 1694, 1806]",[171],SAVW.tsv,S0421,S0423
a big,2,437,"[4, 30, 128, 442, 834, 935]","[437, 570, 572, 775, 1124, 1512, 1864]",SAVW.tsv,S0421,S0423
big,1,615,"[4, 30, 128, 442, 544, 547, 551, 555, 565, 834, 935, 972, 1571]","[615, 975, 1045, 1522, 1834, 775, 1124, 1512, 1864]",SAVW.tsv,S0421,S0423
yeah cos,2,1202,"[4, 184, 208, 1030, 1099, 1483, 1584, 2024]","[1202, 1424]",SAVW.tsv,S0421,S0423
ones,1,13,"[8, 221, 282, 292, 565, 1040, 1049, 1055, 1087, 1217, 1571, 1639, 1808]","[13, 19, 568, 572, 667, 978, 993, 1463]",SAVW.tsv,S0421,S0423
