speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,speaker4,speaker4_token_number,speaker4_expression_token_number,speaker4_expression_number,speaker4_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,file
S0401,819,422,302,0.5152625152625152,S0261,1037,475,297,0.45805207328833175,S0388,1486,683,441,0.45962314939434723,S0262,2558,919,610,0.3592650508209539,5900,2499,0.4235593220338983,1650,SBQZ.tsv
S0415,239,67,49,0.2803347280334728,S0418,80,0,0,0.0,S0417,290,60,45,0.20689655172413793,S0416,218,57,41,0.26146788990825687,827,184,0.22249093107617895,135,SPC7.tsv
S0024,2410,1047,679,0.4344398340248963,S0144,922,375,240,0.4067245119305857,S0012,1545,644,420,0.4168284789644013,S0013,797,345,212,0.4328732747804266,5674,2411,0.424920690870638,1551,S2UJ.tsv
S0008,8909,4555,2792,0.5112807273543608,S0012,5955,3435,2089,0.5768261964735516,S0013,1700,787,504,0.46294117647058824,S0024,1095,696,407,0.6356164383561644,17659,9473,0.5364403420352228,5792,S5PW.tsv
S0688,756,228,147,0.30158730158730157,S0689,893,439,304,0.4916013437849944,S0687,1128,430,283,0.38120567375886527,S0690,22,3,3,0.13636363636363635,2799,1100,0.39299749910682386,737,S5J8.tsv
S0428,637,255,176,0.4003139717425432,S0505,2183,642,405,0.2940907008703619,S0478,793,320,215,0.403530895334174,S0506,297,101,65,0.3400673400673401,3910,1318,0.3370843989769821,861,S7PU.tsv
S0328,4247,2320,1369,0.5462679538497763,S0326,2188,972,562,0.44424131627056673,S0383,7544,3882,2309,0.5145811240721103,S0330,2506,1578,874,0.6296887470071828,16485,8752,0.5309068850470124,5114,SDJA.tsv
S0590,7450,4237,2630,0.5687248322147651,S0591,1659,778,489,0.4689572031344183,S0589,6251,2858,1843,0.45720684690449526,S0588,4107,2189,1380,0.5329924519113708,19467,10062,0.5168747110494684,6342,SVBB.tsv
S0415,124,49,41,0.3951612903225806,S0417,5039,2637,1638,0.5233181186743402,S0416,7176,3402,2189,0.47408026755852845,S0418,103,41,41,0.39805825242718446,12442,6129,0.49260569040347213,3909,SV5A.tsv
S0655,729,356,222,0.4883401920438957,S0652,930,358,214,0.3849462365591398,S0653,1604,584,370,0.3640897755610973,S0654,761,282,186,0.37056504599211565,4024,1580,0.3926441351888668,992,STBW.tsv
S0392,1196,469,307,0.39214046822742477,S0397,840,348,227,0.4142857142857143,S0393,370,103,72,0.27837837837837837,S0391,412,99,65,0.24029126213592233,2818,1019,0.3616039744499645,671,SPZ4.tsv
S0652,671,241,149,0.3591654247391952,S0655,337,117,72,0.34718100890207715,S0653,1050,311,198,0.29619047619047617,S0654,216,68,38,0.3148148148148148,2274,737,0.32409850483729113,457,SP45.tsv
S0024,1996,932,555,0.46693386773547096,S0025,5190,2542,1509,0.48978805394990366,S0144,1987,1015,610,0.5108203321590338,S0062,2369,1241,720,0.5238497256226256,11542,5730,0.4964477560214867,3394,SWFJ.tsv
S0686,1019,370,233,0.3631010794896958,S0684,923,307,202,0.3326110509209101,S0683,839,374,245,0.44576877234803336,S0685,77,28,16,0.36363636363636365,2858,1079,0.37753673897830653,696,SGMQ.tsv
S0024,1954,907,572,0.4641760491299898,S0013,1049,374,247,0.3565300285986654,S0144,964,470,307,0.487551867219917,S0012,2408,1108,694,0.4601328903654485,6375,2859,0.4484705882352941,1820,S99N.tsv
S0084,2579,1236,734,0.4792555253974409,S0085,2053,984,603,0.47929858743302484,S0083,2451,1192,725,0.48633210934312526,S0086,974,417,253,0.42813141683778233,8057,3829,0.475238922675934,2315,S5UJ.tsv
S0591,704,227,155,0.3224431818181818,S0588,137,23,16,0.1678832116788321,S0590,1000,368,257,0.368,S0589,968,352,260,0.36363636363636365,2809,970,0.3453186187255251,688,S7WW.tsv
S0330,4589,2166,1283,0.47199825670080625,S0331,4947,2986,1843,0.6035981402870426,S0328,6867,3817,2238,0.5558468035532256,S0326,2386,1240,716,0.5196982397317687,18789,10209,0.5433498323487147,6080,SKHW.tsv
S0013,366,104,70,0.28415300546448086,S0024,1387,527,363,0.37995674116798844,S0012,113,33,21,0.2920353982300885,S0144,718,381,261,0.5306406685236769,2584,1045,0.40441176470588236,715,S37Y.tsv
S0192,4135,2314,1439,0.5596130592503022,S0230,2859,1379,827,0.48233648128716333,S0198,6357,3032,1844,0.47695453830423157,S0229,1296,658,385,0.5077160493827161,14647,7383,0.5040622653103024,4495,S8RC.tsv
S0688,2356,1133,690,0.4808998302207131,S0689,2964,1380,863,0.46558704453441296,S0687,4080,1750,1079,0.42892156862745096,S0690,452,207,121,0.4579646017699115,9852,4470,0.45371498172959807,2753,S4HW.tsv
S0339,4004,1733,1047,0.43281718281718284,S0338,5977,3277,1969,0.5482683620545424,S0336,2892,1916,1202,0.6625172890733056,S0337,3216,1752,1090,0.5447761194029851,16089,8678,0.5393747280750824,5308,SHAZ.tsv
S0416,128,39,29,0.3046875,S0417,364,71,54,0.19505494505494506,S0415,384,100,71,0.2604166666666667,S0418,258,12,10,0.046511627906976744,1134,222,0.19576719576719576,164,S6H4.tsv
S0326,2217,1118,712,0.5042850699142986,S0331,2383,1062,694,0.44565673520772137,S0330,1276,620,382,0.48589341692789967,S0328,3128,1380,859,0.4411764705882353,9004,4180,0.46423811639271434,2647,SQ6Z.tsv
S0475,2953,975,605,0.33017270572299356,S0417,609,249,176,0.4088669950738916,S0416,1045,536,309,0.5129186602870813,S0415,99,49,30,0.494949494949495,4706,1809,0.3844028899277518,1120,SFB9.tsv
S0572,1266,371,246,0.2930489731437599,S0517,1303,606,380,0.46508058326937834,S0570,591,307,183,0.5194585448392555,S0571,610,246,152,0.40327868852459015,3770,1530,0.40583554376657827,961,SXK2.tsv
S0655,369,137,93,0.3712737127371274,S0653,1314,343,233,0.2610350076103501,S0652,257,78,48,0.3035019455252918,S0654,191,61,39,0.3193717277486911,2131,619,0.2904739558892539,413,S39D.tsv
S0690,1577,790,487,0.5009511731135067,S0689,2483,1309,815,0.527184857027789,S0687,3353,1456,901,0.4342379958246347,S0688,2588,1189,743,0.45942812982998454,10001,4744,0.47435256474352566,2946,S2DD.tsv
S0328,2250,1180,739,0.5244444444444445,S0326,895,399,242,0.44581005586592176,S0331,2249,880,577,0.3912850155624722,S0330,1242,561,341,0.45169082125603865,6636,3020,0.4550934297769741,1899,SUWR.tsv
S0223,2241,407,271,0.18161535029004908,S0202,1133,481,326,0.4245366284201236,S0224,802,427,277,0.5324189526184538,S0225,202,114,70,0.5643564356435643,4378,1429,0.3264047510278666,944,S99Z.tsv
S0511,3159,1301,841,0.4118391896169674,S0512,1943,865,574,0.4451878538342769,S0513,836,410,256,0.4904306220095694,S0514,1528,725,463,0.4744764397905759,7466,3301,0.44213769086525584,2134,ST25.tsv
S0623,2903,1411,857,0.48604891491560454,S0611,2275,1125,675,0.4945054945054945,S0567,1331,604,382,0.45379413974455296,S0620,1099,655,402,0.5959963603275705,7608,3795,0.49881703470031546,2316,SJNC.tsv
S0086,6737,3696,2271,0.5486121419029242,S0046,1049,249,164,0.23736892278360344,S0041,5898,2888,1729,0.489657511020685,S0169,2935,1949,1112,0.6640545144804089,16619,8782,0.5284313135567724,5276,S3YZ.tsv
S0346,460,159,117,0.3456521739130435,S0336,749,255,175,0.3404539385847797,S0337,529,206,140,0.389413988657845,S0347,472,147,98,0.3114406779661017,2210,767,0.34705882352941175,530,SHCG.tsv
S0144,779,316,191,0.4056482670089859,S0024,1135,471,289,0.4149779735682819,S0013,1658,707,443,0.4264173703256936,S0012,2543,1161,701,0.456547384978372,6115,2655,0.43417825020441536,1624,SFXU.tsv
S0123,6782,3575,2184,0.5271306399292244,S0109,2313,1282,745,0.5542585386943364,S0034,3590,1767,1070,0.49220055710306404,S0050,6106,3343,1995,0.5474942679331805,18791,9967,0.5304134958224682,5994,SJNB.tsv
S0571,2332,1232,754,0.5283018867924528,S0570,2438,891,568,0.36546349466776046,S0517,2794,1196,733,0.4280601288475304,S0572,1191,786,464,0.6599496221662469,8755,4105,0.4688749286122216,2519,SVP4.tsv
S0512,797,387,248,0.48557089084065247,S0511,4801,1729,1102,0.3601333055613414,S0514,843,457,285,0.5421115065243179,S0513,1165,510,310,0.43776824034334766,7606,3083,0.4053378911385748,1945,SASC.tsv
S0688,2449,1272,736,0.5193956717027358,S0689,2457,897,558,0.36507936507936506,S0690,1688,843,508,0.4994075829383886,S0687,3076,1704,1013,0.5539661898569571,9670,4716,0.487693898655636,2815,SWZA.tsv
S0229,1915,818,537,0.427154046997389,S0230,2308,1232,742,0.5337954939341422,S0192,3580,1835,1108,0.5125698324022346,S0198,5516,2734,1704,0.4956490210297317,13319,6619,0.49695923117351154,4091,SKDA.tsv
S0415,1386,525,357,0.3787878787878788,S0416,599,173,116,0.2888146911519199,S0417,1191,445,309,0.37363560033585225,S0418,82,31,30,0.3780487804878049,3258,1174,0.3603437691835482,812,SLBG.tsv
S0104,4001,1782,1153,0.4453886528367908,S0376,1139,513,322,0.4503950834064969,S0377,1062,569,347,0.5357815442561206,S0167,1565,678,418,0.43322683706070286,7767,3542,0.45603192996008757,2240,SPHU.tsv
S0617,2715,1215,711,0.44751381215469616,S0614,1639,725,448,0.4423428920073215,S0525,8996,4644,2822,0.5162294353045798,S0641,3093,1936,1123,0.6259295182670547,16443,8520,0.5181536216018975,5104,SUVS.tsv
