speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,speaker4,speaker4_token_number,speaker4_expression_token_number,speaker4_expression_number,speaker4_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,file
S0588,3065,1742,1084,0.568352365415987,S0590,5607,2759,1791,0.49206349206349204,S0589,2446,1026,643,0.419460343417825,S0616,5233,2592,1557,0.4953181731320466,16351,8119,0.4965445538499174,5075,SMK3.tsv
S0418,137,91,76,0.6642335766423357,S0415,1794,674,440,0.3756967670011148,S0417,1051,428,289,0.4072312083729781,S0416,1337,602,384,0.450261780104712,4319,1795,0.4156054642278305,1189,S6KV.tsv
S0167,1622,780,506,0.4808877928483354,S0104,2181,789,506,0.36176066024759285,S0379,1595,656,413,0.41128526645768027,S0373,27,13,9,0.48148148148148145,5425,2238,0.4125345622119816,1434,SZRJ.tsv
S0166,752,350,223,0.4654255319148936,S0118,926,322,206,0.34773218142548595,S0163,517,150,104,0.2901353965183752,S0122,1011,340,224,0.3363006923837784,3206,1162,0.3624454148471616,757,SHL3.tsv
S0653,2052,805,532,0.39230019493177387,S0654,815,307,192,0.37668711656441717,S0652,788,331,202,0.4200507614213198,S0655,1118,487,320,0.43559928443649376,4773,1930,0.40435784621831133,1246,SCP7.tsv
S0326,1007,531,300,0.5273088381330685,S0330,2572,1299,793,0.505054432348367,S0328,2283,609,391,0.266754270696452,S0383,2686,1508,888,0.5614296351451973,8548,3947,0.4617454375292466,2372,SDA8.tsv
S0397,2541,1127,713,0.44352617079889806,S0391,1529,667,395,0.43623283191628515,S0392,2195,975,622,0.44419134396355353,S0393,956,379,240,0.39644351464435146,7221,3148,0.4359506993491206,1970,SC2T.tsv
S0187,2333,1109,700,0.4753536219459923,S0200,1697,819,527,0.4826163818503241,S0387,1598,636,407,0.3979974968710889,S0188,1432,805,511,0.5621508379888268,7060,3369,0.47719546742209634,2145,S376.tsv
S0392,2540,1172,758,0.46141732283464565,S0397,2204,979,600,0.4441923774954628,S0391,1404,631,376,0.4494301994301994,S0393,1525,657,427,0.4308196721311475,7673,3439,0.44819496937312653,2161,SYWR.tsv
S0544,1651,827,494,0.500908540278619,S0542,4689,2144,1323,0.45724034975474515,S0560,2685,1346,865,0.5013035381750466,S0543,16,10,5,0.625,9041,4327,0.4785975002765181,2687,SNNJ.tsv
S0415,817,189,129,0.23133414932680538,S0417,297,91,59,0.3063973063973064,S0418,84,29,18,0.34523809523809523,S0416,357,85,62,0.23809523809523808,1555,394,0.25337620578778136,268,SLU4.tsv
S0617,603,274,173,0.45439469320066334,S0615,3327,1925,1217,0.5785993387436129,S0525,4434,1681,1102,0.37911592241768155,S0614,428,87,55,0.20327102803738317,8792,3967,0.4512056414922657,2547,SEPR.tsv
