speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,begin,end,file
4,82,263,984,0.0779467680608365,25,25,30,2,0,50,SDA8.tsv
4,166,329,1351,0.12613981762917933,51,32,62,21,0,100,SDA8.tsv
4,221,421,1833,0.13123515439429928,66,39,84,32,0,150,SDA8.tsv
4,285,475,2205,0.15,78,62,103,42,0,200,SDA8.tsv
4,360,532,2692,0.16917293233082706,98,70,130,62,0,250,SDA8.tsv
4,416,595,3196,0.17478991596638654,102,80,148,86,0,300,SDA8.tsv
4,487,684,4050,0.17799707602339182,105,116,169,97,0,350,SDA8.tsv
4,528,716,4483,0.18435754189944134,107,122,177,122,0,400,SDA8.tsv
4,588,767,5121,0.19165580182529335,123,139,184,142,0,450,SDA8.tsv
4,634,821,5863,0.1930572472594397,131,155,195,153,0,500,SDA8.tsv
4,680,874,6518,0.1945080091533181,136,165,202,177,0,550,SDA8.tsv
4,717,917,7129,0.195474372955289,137,175,211,194,0,600,SDA8.tsv
4,752,938,7414,0.20042643923240938,139,184,221,208,0,650,SDA8.tsv
4,793,973,7836,0.20375128468653647,145,201,227,220,0,700,SDA8.tsv
4,833,1005,8132,0.20721393034825872,161,208,234,230,0,750,SDA8.tsv
4,881,1046,8533,0.21056405353728488,168,217,250,246,0,800,SDA8.tsv
4,881,1049,8548,0.20996186844613918,168,217,250,246,0,807,SDA8.tsv
